"Title","Developer(s)","Release date","","","Options","Ref."
"Karaoke Revolution Presents: American Idol Encore 2","Blitz Games","Unreleased","Unreleased","November 18, 2008","","[36]"
"Katamari Forever","Namco Bandai","July 23, 2009","September 18, 2009","September 22, 2009","","[37]"
"Katsuragi Misato Houdou Keikaku (app)","Bandai Namco Games","June 6, 2009","Unreleased","Unreleased","","[38]"
"Karateka","Liquid Entertainment","Unreleased","February 13, 2013","December 18, 2012","",""
"Kazoku Keikaku Tumugu Ito","Cyber Front","October 24, 2013","Unreleased","Unreleased","","[39]"
"Ken to Mahou to Gakuen Mono. 3 (Class of Heroes 3)","Acquire","October 7, 2010","Unreleased","Unreleased","","[citation needed]"
"Ketsui: Kizuna Jigoku Tachi Extra","5pb.","July 25, 2013","Unreleased","Unreleased","","[40]"
"Kevin Van Dam's Big Bass Challenge","Zoo Games","Unreleased","Unreleased","June 30, 2011","","[41]"
"Kick-Ass: The Game","Frozen Codebase","Unreleased","May 5, 2010","April 29, 2010","",""
"Kick-Ass 2: The Game","Grasshopper Manufacture","Unreleased","August 1, 2014","Unreleased","","[citation needed]"
"KickBeat","Zen Studios","Unreleased","September 11, 2013","September 3, 2013","",""
"Killer is Dead","Grasshopper Manufacture","August 1, 2013","August 27, 2013","August 27, 2013","","[citation needed]"
"Killzone 2","Guerrilla Games","Unreleased","February 25, 2009","February 27, 2009","","[42]"
"Killzone 3","Guerrilla Games","February 24, 2011","February 25, 2011","February 22, 2011","3D  SV  M","[43]"
"Killzone HD","Supermassive Games","Unreleased","Unreleased","October 23, 2012","","[44]"
"King's Quest","The Odd Gentlemen","Unreleased","July 29, 2015","July 28, 2015","",""
"King Oddball","10tons","Unreleased","Unreleased","February 3, 2015","",""
"The King of Fighters XII","SNK Playmore","July 28, 2009","July 28, 2009","July 28, 2009","","[45]"
"The King of Fighters XIII","SNK Playmore","December 1, 2011","November 25, 2011","November 22, 2011","","[46]"
"Kingdom Hearts HD 1.5 Remix","Square Enix","March 14, 2013","September 13, 2013","September 10, 2013","","[47]"
"Kingdom Hearts HD 2.5 Remix","Square Enix","October 2, 2014","December 5, 2014","December 5, 2014","","[citation needed]"
"Kingdoms of Amalur: Reckoning","38 Studios, Big Huge Games","Unreleased","February 9, 2012","February 7, 2012","","[48]"
"Kite Fight","Gameshastra","Unreleased","May 29, 2013","Unreleased","",""
"Knights Contract","Namco Bandai","July 7, 2011","February 25, 2011","February 22, 2011","","[49]"
"Knytt Underground","nifflas","Unreleased","December 21, 2012","December 18, 2012","",""
"Koihime Embu","BaseSon","January 28, 2016","Unreleased","Unreleased","","[50]"
"Kono Oozora Ni Tsubasa Wo Hirogete Cruise Sign","5pb.","March 31, 2016","Unreleased","Unreleased","","[51]"
"Krinkle Krusher","Ilusis Interactive Graphics","Unreleased","August 5, 2016","April 7, 2015","",""
"Kung-Fu Live","Virtual Air Guitar","Unreleased","December 8, 2010","December 7, 2010","E",""
"Kung Fu Panda","Luxoflux","Unreleased","June 27, 2008","June 3, 2008","","[52]"
"Kung Fu Panda 2","THQ","Unreleased","June 10, 2011","May 24, 2011","","[53]"
"Kung Fu Panda: Showdown of Legendary Legends","Vicious Cycle Software","Unreleased","November 27, 2015","December 1, 2015","","[citation needed]"
"Kung Fu Rabbit","Bulkypix","Unreleased","August 27, 2014","August 19, 2014","",""
"Kung Fu Rider","Japan Studio","October 21, 2010","September 17, 2010","September 17, 2010","M","[citation needed]"
"L.A. Noire","Team Bondi","July 7, 2011","May 20, 2011","May 17, 2011",""
"L@ve Once: Mermaid's Tears","Silicon Studio","February 24, 2011","Unreleased","Unreleased","","[54]"
"La Voz Vol. 3","Creat Studios","Unreleased","November 13, 2015","Unreleased","",""
"Labyrinth Legends","Creat Studios","Unreleased","December 19, 2012","December 18, 2012","",""
"Lair","Factor 5","October 11, 2007","November 16, 2007","August 30, 2007","","[55]"
"Landit Bandit","The Bearded Ladies","Unreleased","June 23, 2010","July 13, 2010","",""
"Lara Croft and the Guardian of Light","Crystal Dynamics","September 28, 2010","September 29, 2010","September 28, 2010","",""
"The Last of Us","Naughty Dog","June 20, 2013","June 14, 2013","June 14, 2013","","[56]"
"Last Rebellion","Hit Maker","January 28, 2010","March 26, 2010","February 23, 2010","","[57]"
"Lead and Gold: Gangs of the Wild West","Fatshark","November 30, 2010","April 22, 2010","May 4, 2010","",""
"Learning with The PooYoos: Episode 1","Lexis Numérique","Unreleased","Unreleased","June 2, 2011","",""
"Learning with The PooYoos: Episode 2","Lexis Numérique","Unreleased","November 23, 2011","November 22, 2011","",""
"Legendary","Spark Unlimited","Unreleased","October 31, 2008","November 4, 2008","","[58]"
"Legend of Kay Anniversary","Kaiko","Unreleased","July 28, 2015","July 28, 2015","","[59]"
"Legend of Robots","The Bearded Ladies Consulting","Unreleased","July 13, 2011","Unreleased","","[60]"
"Legend of the Guardians: The Owls of Ga'Hoole","Krome Studios","Unreleased","September 14, 2010","September 14, 2010","","[citation needed]"
"The Legend of Heroes: Trails at Sunrise","Nihon Falcom","April 26, 2017","Unreleased","Unreleased","","[61]"
"The Legend of Heroes: Trails in the Sky Kai HD Edition","Nihon Falcom","December 13, 2012","Unreleased","Unreleased","","[62]"
"The Legend of Heroes: Trails in the Sky SC Kai HD Edition","Nihon Falcom","April 25, 2013","Unreleased","Unreleased","","[63]"
"The Legend of Heroes: Trails in the Sky the 3rd Kai HD Edition","Nihon Falcom","June 27, 2013","Unreleased","Unreleased","","[64]"
"The Legend of Heroes: Trails of Cold Steel","Nihon Falcom","September 26, 2013","January 29, 2016","December 22, 2015","","[65]"
"The Legend of Heroes: Trails of Cold Steel II","Nihon Falcom","September 25, 2014","November 11, 2016","September 6, 2016","","[66]"
"The Legend of Spyro: Dawn of the Dragon","Étranges Libellules","Unreleased","November 28, 2008","October 21, 2008","","[67]"
"Lego Batman: The Videogame","Traveller's Tales","December 8, 2008","October 10, 2008","September 23, 2008","","[68]"
"Lego Batman 2: DC Super Heroes","Traveller's Tales","Unreleased","June 19, 2012","June 22, 2012","","[69]"
"Lego Batman 3: Beyond Gotham","Traveller's Tales","November 26, 2014","November 11, 2014","November 14, 2014","","[citation needed]"
"Lego Dimensions Starter Pack","Traveller's Tales","Unreleased","September 27, 2015","September 27, 2015","","[70]"
"Lego Harry Potter: Years 1–4","Traveller's Tales","April 21, 2011","June 25, 2010","June 29, 2010","","[71]"
"Lego Harry Potter: Years 5-7","Traveller's Tales","Unreleased","November 18, 2011","November 11, 2011","","[72]"
