"Title","Developer(s)","Release date","","","Options","Ref."
"Metal Gear Solid V: The Phantom Pain","Kojima Productions","September 1, 2015","September 1, 2015","September 1, 2015","","[165]"
"Metal Gear Solid HD Edition (Metal Gear, Metal Gear 2, Metal Gear Solid)","Kojima Productions","November 23, 2011","August 21, 2012","August 21, 2012","","[166]"
"Metal Gear Solid: Peace Walker HD Edition","Kojima Productions","December 8, 2011","August 21, 2012","August 21, 2012","","[167]"
"Metal Gear Solid: The Legacy Collection (Metal Gear Solid, Metal Gear Solid: VR Missions)","Kojima Productions","July 11, 2013","September 13, 2013","July 9, 2013","","[168]"
"Metal Slug 3","SNK","May 14, 2015","April 29, 2015","March 24, 2015","","[169]"
"Metro: Last Light","4A Games","Unreleased","May 17, 2013","May 14, 2013","","[170]"
"Michael Jackson: The Experience","Ubisoft Montpellier, Ubisoft Paris","December 8, 2011","April 15, 2011","April 12, 2011","M  E","[171]"
"MicroBot","Naked Sky Entertainment","February 10, 2011","January 5, 2011","January 4, 2011","",""
"Middle-earth: Shadow of Mordor","Monolith Productions","Unreleased","November 21, 2014","November 18, 2014","","[172]"
"Midnight Club: Los Angeles","Rockstar San Diego","Unreleased","October 24, 2008","October 21, 2008","","[173]"
"Midway Arcade Origins","Backbone Entertainment","Unreleased","November 6, 2012","November 6, 2012","","[174]"
"Might & Magic: Clash of Heroes HD","Capybara Games","Unreleased","April 13, 2011","April 12, 2011","",""
"Might & Magic: Duel of Champions – Forgotten Wars","Ubisoft","Unreleased","July 23, 2014","July 22, 2014","",""
"Mighty No. 9","Comcept","June 21, 2016","June 24, 2016","June 21, 2016","",""
"Military Madness: Nectaris","Backbone Entertainment","November 18, 2009","January 7, 2010","November 5, 2009","","[175]"
"Mindjack","feelplus","January 27, 2011","January 21, 2011","January 18, 2011","","[176]"
"Minecraft: PlayStation 3 Edition","4j Studios","May 15, 2014","May 15, 2014","May 15, 2014","","[citation needed]"
"Minecraft: Story Mode","Telltale Games","October 30, 2015","October 30, 2015","October 30, 2015","","[citation needed]"
"Mini Ninjas","IO Interactive","Unreleased","September 11, 2009","September 8, 2009","","[177]"
"Mirror's Edge","EA Digital Illusions CE","Unreleased","November 13, 2008","November 11, 2008","","[178]"
"Minnya no Putter Golf","SCEI","December 18, 2008","Unreleased","Unreleased","",""
"Mist of Chaos","Idea Factory / Neverland Co.","March 22, 2007","Unreleased","Unreleased","","[179]"
"Mix Superstar","Digital Leisure","Unreleased","January 23, 2013","December 11, 2012","",""
"Miyasato Miyoshi Kyoudai Naizou: Sega Golf Club","Sega","November 11, 2006","Unreleased","Unreleased","","[180]"
"MLB 07: The Show","San Diego Studio","Unreleased","Unreleased","May 15, 2007","","[181]"
"MLB 08: The Show","San Diego Studio","Unreleased","Unreleased","March 4, 2008","","[182]"
"MLB 09: The Show","San Diego Studio","Unreleased","Unreleased","March 3, 2009","","[183]"
"MLB 10: The Show","San Diego Studio","Unreleased","Unreleased","March 2, 2010","","[184]"
"MLB 11: The Show","San Diego Studio","Unreleased","Unreleased","March 8, 2011","3D  M","[185]"
"MLB 12: The Show","San Diego Studio","Unreleased","Unreleased","March 6, 2012","3D  SV  M","[186]"
"MLB 13: The Show","San Diego Studio","Unreleased","March 5, 2013","March 5, 2013","3D  SV  M","[187]"
"MLB 14: The Show","San Diego Studio","Unreleased","April 2, 2014","April 1, 2014","3D  M","[188]"
"MLB 15: The Show","San Diego Studio","Unreleased","Unreleased","March 31, 2015","","[citation needed]"
"MLB 16: The Show","San Diego Studio","Unreleased","Unreleased","March 29, 2016","","[citation needed]"
"MLB Bobblehead","San Diego Studio","September 29, 2011","Unreleased","Unreleased","","[189]"
"MLB Front Office Manager","Blue Castle Games","Unreleased","Unreleased","January 26, 2009","","[190]"
"MLB The Show: Home Run Derby","San Diego Studio","Unreleased","Unreleased","July 2, 2013","",""
"Mobile Suit Gundam Battlefield Record U.C. 0081","Namco Bandai","September 3, 2009","Unreleased","Unreleased","","[191]"
"Mobile Suit Gundam: Crossfire•Mobile Suit Gundam: Target in SightEU/AUS•Kidou Senshi Gundam: Target in SightJP","Namco Bandai","November 11, 2006","March 23, 2007","November 13, 2006","","[192]"
"Mobile Suit Gundam: Battle Operation","Bandai Namco Entertainment","June 28, 2012","Unreleased","Unreleased","",""
"Mobile Suit Gundam: Extreme Vs.","Namco Bandai","December 1, 2011","Unreleased","Unreleased","","[citation needed]"
"Mobile Suit Gundam: Extreme Vs. Full Boost","Namco Bandai","January 30, 2014","Unreleased","Unreleased","","[citation needed]"
"Mobile Suit Gundam Side Stories","Namco Bandai","April 29, 2014","Unreleased","Unreleased","","[citation needed]"
"Mobile Suit Gundam Unicorn","From Software","March 8, 2012","Unreleased","Unreleased","","[193]"
"Modern Combat: Domination","Gameloft","February 15, 2011","January 19, 2011","January 18, 2011","M","[194]"
"ModNation Racers","United Front Games / San Diego Studio","July 29, 2010","May 21, 2010","May 25, 2010","","[195]"
"Moe Moe Daisensou * Gendaiban++","SystemSoft","March 8, 2012","Unreleased","Unreleased","","[196]"
"Monkey Island Special Edition Collection","LucasArts","Unreleased","September 9, 2011","September 9, 2011","","[197]"
"Monopoly","EA Casual Entertainment","Unreleased","October 24, 2008","October 21, 2008","","[198]"
"Monopoly Deal","Asobo Studio","Unreleased","January 21, 2015","January 13, 2015","",""
"Monopoly Plus","Asobo Studio","Unreleased","January 28, 2015","January 13, 2015","",""
"Monopoly Streets","EA Casual Entertainment","Unreleased","October 26, 2010","October 26, 2010","","[199]"
"Monster High: New Ghoul in School","Torus Games","Unreleased","November 17, 2015","November 17, 2015","","[200]"
"Monster Hunter Frontier G","Capcom","November 20, 2013","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier G5 (expansion)","Capcom","July 23, 2014","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier G6 (expansion)","Capcom","November 19, 2014","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier G7 (expansion)","Capcom","April 15, 2015","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier G8 (expansion)","Capcom","July 22, 2015","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier G9 (expansion)","Capcom","November 18, 2015","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier G10 (expansion)","Capcom","April 21, 2016","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier GG (expansion)","Capcom","April 23, 2014","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Frontier Z (expansion)","Capcom","November 9, 2016","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Portable 2nd G Monster Data Chishikisho","Capcom","October 14, 2010","Unreleased","Unreleased","","[citation needed]"
"Monster Hunter Portable 3rd HD Ver.","Capcom","August 25, 2011","Unreleased","Unreleased","","[201]"
"Monster Hunter Portable 3rd Monster Data Chishikisho (expansion)","Capcom","August 25, 2011","Unreleased","Unreleased","","[citation needed]"
"Monster Jam: Path of Destruction","Activision","Unreleased","November 9, 2010","November 9, 2010","","[citation needed]"
"Monster Jam Battlegrounds","Team 6","Unreleased","May 24, 2016","July 14, 2015","",""
"Monster Madness: Grave Danger","Psyonix Studios / Immersion Games","Unreleased","September 5, 2008","August 5, 2008","","[202]"
"Monsters vs. Aliens","Beenox / Amaze Entertainment","Unreleased","March 27, 2009","March 24, 2009","","[citation needed]"
"Monster World IV","Sega","May 23, 2012","May 23, 2012","May 22, 2012","",""
"Moon Diver","feelplus","March 29, 2011","March 30, 2011","March 29, 2011","",""
"Mortal Kombat","NetherRealm Studios","Unreleased","April 21, 2011","April 19, 2011","3D","[203]"
"Mortal Kombat vs. DC Universe","Midway Games","Unreleased","November 21, 2008","November 16, 2008","","[204]"
"Mortal Kombat Arcade Kollection (Mortal Kombat, Mortal Kombat II, Ultimate Mortal Kombat 3)","Warner Bros. Interactive","Unreleased","December 7, 2011","August 30, 2011","",""
"Mortal Kombat II","Sony Online Entertainment","Unreleased","June 8, 2007","April 12, 2007","","[205]"
"MotionSports Adrenaline","Ubisoft Milan","Unreleased","November 11, 2011","November 11, 2011","M","[citation needed]"
"MotoGP '08","Milestone","Unreleased","October 24, 2008","October 28, 2008","","[206]"
"MotoGP 09/10","Monumental Games","Unreleased","March 19, 2010","March 23, 2010","","[207]"
"MotoGP 10/11","Monumental Games","Unreleased","March 15, 2011","March 15, 2011","","[208]"
"MotoGP 13","Milestone srl","Unreleased","June 21, 2013","June 21, 2013","","[209]"
"MotoGP 14","Milestone srl","Unreleased","June 20, 2014","November 4, 2014","","[210][211]"
"MotoGP 15","Milestone srl","Unreleased","June 24, 2015","June 24, 2015","","[212]"
"Motorbike","baKno Games","Unreleased","October 23, 2013","June 25, 2013","",""
"Motorcycle Club","Kylotonn","Unreleased","November 28, 2014","January 20, 2015","","[213]"
"MotorStorm","Evolution Studios","December 14, 2006","March 23, 2007","March 6, 2007","","[214]"
"MotorStorm: 3D Rift","Evolution Studios","Unreleased","August 24, 2010","August 25, 2010","3D  SV","[215]"
"MotorStorm: Apocalypse","Evolution Studios","Unreleased","March 16, 2011","May 3, 2011","3D  SV","[216]"
"MotorStorm: Pacific Rift","Evolution Studios","October 31, 2008","November 7, 2008","October 28, 2008","","[217]"
"MotorStorm: RC","Evolution Studios","March 19, 2012","February 22, 2012","March 6, 2012","3D","[218]"
"Motto! SoniComi","Nitroplus","March 20, 2014","Unreleased","Unreleased","","[citation needed]"
"Mountain Crime: Requital","Alawar","Unreleased","March 13, 2013","May 28, 2013","",""
"MouseCraft","Crunching Koalas","February 3, 2016","July 9, 2014","July 8, 2014","",""
"Move Fitness","ColdWood Interactive","Unreleased","March 11, 2013","Unreleased","","[219]"
"Move Mind Benders","XDEV","Unreleased","November 11, 2011","Unreleased","","[citation needed]"
"Move Street Cricket","Trine Game Studios","Unreleased","February 15, 2012","Unreleased","","[220]"
"Move Street Cricket 2","Trine Game Studios","Unreleased","May 15, 2013","Unreleased","","[citation needed]"
"Ms. Germinator","Creat Studios","Unreleased","August 14, 2013","August 20, 2013","",""
"MUD FIM Motocross World Championship","Milestone srl","Unreleased","April 25, 2012","February 26, 2012","","[citation needed]"
"Mugen Souls","Compile Heart","November 27, 2012","October 5, 2012","March 22, 2012","","[citation needed]"
"Mugen Souls Z","Compile Heart","May 23, 2013","May 26, 2013","April 25, 2013","","[citation needed]"
"Murdered: Soul Suspect","Airtight Games","July 17, 2014","June 6, 2014","June 3, 2014","","[citation needed]"
"Mushroom Wars","Creat Studios","Unreleased","October 15, 2009","October 15, 2009","","[221]"
"Musou Orochi Z","Omega Force","March 12, 2009","Unreleased","Unreleased","","[222]"
"Mutant Mudds Deluxe","Renegade Kid","Unreleased","Unreleased","December 17, 2013","",""
"Muv-Luv","5pb.","October 5, 2012","Unreleased","Unreleased","","[223]"
"Muv-Luv Alternative","5pb.","October 25, 2012","Unreleased","Unreleased","","[citation needed]"
"Muv-Luv Alternative: Total Eclipse","5pb.","May 16, 2013","Unreleased","Unreleased","","[224]"
"Muv-Luv Photon flowers","5pb.","April 24, 2014","Unreleased","Unreleased","","[225]"
"Muv-Luv Photon Melodies","5pb.","October 28, 2014","Unreleased","Unreleased","","[226]"
"MXGP The Official Motocross Videogame","Milestone srl","Unreleased","November 18, 2014","November 18, 2014","","[citation needed]"
"MX vs. ATV: Untamed","Rainbow Studios","Unreleased","March 7, 2008","December 17, 2007","","[227]"
"MX vs. ATV Alive","Rainbow Studios","Unreleased","May 10, 2011","May 10, 2011","","[228]"
"MX vs. ATV Reflex","Rainbow Studios","Unreleased","February 5, 2010","December 1, 2009","","[229]"
"MX vs. ATV Supercross","Rainbow Studios","Unreleased","August 28, 2014","August 28, 2014","","[230]"
"My Aquarium","Hudson Soft","September 8, 2010","September 15, 2010","September 14, 2010","",""
"My Fitness Coach 2","Ubisoft","Unreleased","March 18, 2011","Unreleased","","[231]"
"My Fitness Coach Club","Big Ben Interactive","Unreleased","October 19, 2011","Unreleased","","[232]"
"My Summer Vacation 3","Japan Studio","July 5, 2007","Unreleased","Unreleased","","[233]"
"MySims SkyHeroes","Electronic Arts","Unreleased","October 1, 2010","September 28, 2010","","[234]"
"Nail'd","Techland","Unreleased","February 4, 2011","November 30, 2010",""
"Namco Museum Essentials (Dig Dug, Dragon Spirit, Galaga, Pac-Man, Xevious, Xevious Resurrection)","Bandai Namco Entertainment","January 29, 2009","April 1, 2010","July 16, 2009","","[235]"
"Naruto: Ultimate Ninja Storm","CyberConnect2","January 15, 2009","November 7, 2008","November 4, 2008","","[236]"
"Narco Terror","Keen Software House Ltd","Unreleased","July 31, 2013","July 30, 2013","",""
"Naruto Shippuden: Ultimate Ninja Storm 2","CyberConnect2","October 21, 2010","October 15, 2010","October 19, 2010","","[237]"
"Naruto Shippuden: Ultimate Ninja Storm 3","CyberConnect2","April 18, 2013","March 8, 2013","March 5, 2013","","[238]"
"Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst","CyberConnect2","Unreleased","October 22, 2013","October 22, 2013","","[239]"
"Naruto Shippuden: Ultimate Ninja Storm Generations","CyberConnect2","February 23, 2012","March 30, 2012","March 13, 2012","","[240]"
"Naruto Shippuden: Ultimate Ninja Storm Revolution","CyberConnect2","September 11, 2014","September 16, 2014","September 12, 2014","","[citation needed]"
"NASCAR 08","EA Tiburon","Unreleased","August 10, 2007","July 23, 2007","","[241]"
"NASCAR 09","EA Tiburon","Unreleased","June 27, 2008","June 10, 2008","","[242]"
"NASCAR 2011: The Game","Eutechnyx","Unreleased","Unreleased","March 29, 2011","","[243]"
"NASCAR 2014","Eutechnyx","Unreleased","Unreleased","February 18, 2014","","[citation needed]"
"NASCAR 2015","Eutechnyx","Unreleased","Unreleased","March 22, 2015","","[citation needed]"
"NASCAR The Game: Inside Line","Eutechnyx","Unreleased","Unreleased","November 6, 2012","","[citation needed]"
"NASCAR Unleashed","Firebrand Games","Unreleased","Unreleased","November 1, 2011","","[citation needed]"
"Nat Geo Challenge! Wild Life","Gusto Games","Unreleased","June 25, 2010","November 16, 2010","","[244]"
"National Geographic Challenge!","Gusto Games","Unreleased","November 29, 2011","April 8, 2011","","[245]"
"Natsuiro High School: Seishun Hakusho","Tamsoft","June 4, 2015","Unreleased","Unreleased","","[citation needed]"
"Natural Doctrine","Kadokawa Games","April 3, 2014","October 3, 2014","September 30, 2014","","[citation needed]"
"Naughty Bear","Artificial Mind and Movement","Unreleased","June 25, 2010","June 29, 2010","","[246]"
"Naughty Bear: Panic in Paradise","Behaviour Interactive","Unreleased","October 10, 2012","October 9, 2012","",""
"NBA 07","San Diego Studio","January 7, 2007","Unreleased","November 17, 2006","","[247]"
"NBA 08","San Diego Studio","Unreleased","February 15, 2008","October 12, 2007","","[248]"
"NBA 09: The Inside","San Diego Studio","Unreleased","Unreleased","October 7, 2008","","[249]"
"NBA 2K7","Visual Concepts / Kush Games","Unreleased","April 27, 2007","November 17, 2006","","[250]"
"NBA 2K8","Visual Concepts / Kush Games","August 7, 2008","November 23, 2007","October 2, 2007","","[251]"
"NBA 2K9","Visual Concepts / Kush Games","March 26, 2009","October 10, 2008","October 7, 2008","","[252]"
"NBA 2K10","Visual Concepts / Kush Games","October 15, 2009","October 6, 2009","October 6, 2009","","[253]"
"NBA 2K10 Draft Combine","Visual Concepts","Unreleased","Unreleased","September 3, 2009","",""
"NBA 2K11","Visual Concepts / Kush Games","October 14, 2010","October 8, 2010","October 5, 2010","3D  M","[254]"
"NBA 2K12","Visual Concepts / Kush Games","October 14, 2011","October 8, 2011","October 5, 2011","3D  M","[255]"
"NBA 2K13","Visual Concepts / Kush Games","Unreleased","August 5, 2012","August 2, 2012","","[citation needed]"
"NBA 2K14","Visual Concepts","November 7, 2013","October 4, 2013","October 1, 2013","","[256]"
"NBA 2K15","Visual Concepts","November 27, 2014","August 10, 2014","August 7, 2014","","[citation needed]"
"NBA 2K16","Visual Concepts","September 29, 2015","September 29, 2015","September 29, 2015","","[citation needed]"
"NBA 2K17","Visual Concepts","September 20, 2016","September 20, 2016","September 20, 2016","","[citation needed]"
"NBA 2K18","Visual Concepts","September 19, 2017","September 19, 2017","September 19, 2017","","[citation needed]"
"NBA Ballers: Chosen One","Midway Games","Unreleased","Unreleased","April 25, 2008","","[257]"
"NBA Jam","EA Canada","Unreleased","November 26, 2010","November 26, 2010","","[citation needed]"
"NBA Jam: On Fire Edition","EA Canada","Unreleased","October 5, 2011","October 4, 2011","",""
"NBA Live 08","EA Canada","November 8, 2007","October 26, 2007","October 2, 2007","","[258]"
"NBA Live 09","EA Canada","October 23, 2008","October 10, 2008","October 7, 2008","","[259]"
"NBA Live 10","EA Canada","November 5, 2009","October 9, 2009","October 6, 2009","","[260]"
"NBA Street Homecourt","EA Canada","May 24, 2007","March 23, 2007","March 8, 2007","","[261]"
"NBA Unrivaled","A.C.R.O.N.Y.M. Games","Unreleased","June 23, 2010","April 1, 2010","",""
"NCAA Basketball 09","EA Canada","Unreleased","Unreleased","November 17, 2008","","[262]"
"NCAA Basketball 10","EA Canada","Unreleased","Unreleased","November 18, 2009","","[263]"
"NCAA Football 08","EA Tiburon","Unreleased","Unreleased","July 17, 2007","","[264]"
"NCAA Football 09","EA Tiburon","Unreleased","Unreleased","July 15, 2008","","[265]"
"NCAA Football 10","EA Tiburon","Unreleased","Unreleased","July 14, 2009","","[266]"
"NCAA Football 11","EA Tiburon","Unreleased","Unreleased","July 13, 2010","","[267]"
"NCAA Football 12","EA Tiburon","Unreleased","Unreleased","July 12, 2011","","[268]"
"NCAA Football 13","EA Tiburon","Unreleased","Unreleased","July 13, 2012","","[citation needed]"
"NCAA Football 14","EA Tiburon","Unreleased","Unreleased","July 9, 2013","","[citation needed]"
"NCAA March Madness 08","EA Canada","Unreleased","Unreleased","December 11, 2007","","[269]"
"NCIS","Ubisoft","November 1, 2011","November 1, 2011","November 1, 2011","M","[270]"
"Need for Speed: Carbon","EA Black Box","December 21, 2006","March 23, 2007","November 16, 2006","","[271]"
"Need for Speed: Hot Pursuit","Criterion Games","Unreleased","November 19, 2010","November 16, 2010","","[272]"
"Need for Speed: Most Wanted","Criterion Games","November 15, 2012","November 2, 2012","November 2, 2012","M","[citation needed]"
"Need for Speed: ProStreet","EA Black Box","January 31, 2008","November 23, 2007","November 13, 2007","","[273]"
"Need for Speed: The Run","EA Black Box","December 8, 2011","November 18, 2011","November 15, 2011","","[274]"
"Need for Speed: Shift","Slightly Mad Studios","Unreleased","September 17, 2009","September 15, 2009","","[275]"
"Need for Speed: Undercover","EA Black Box","Unreleased","November 21, 2008","November 18, 2008","","[276]"
"Need for Speed: Rivals","Ghost Games","Unreleased","November 19, 2013","November 19, 2013","","[277]"
"Never Alone","Upper One Games","Unreleased","December 23, 2015","December 23, 2015","",""
"NeverDead","Rebellion Developments","Unreleased","February 3, 2012","January 31, 2012","","[278]"
"NFL Blitz","EA Tiburon","Unreleased","Unreleased","January 3, 2012","",""
"NFL Head Coach 09","EA Tiburon","Unreleased","Unreleased","September 3, 2008","","[279]"
"NFL Tour","EA Tiburon","Unreleased","January 8, 2008","January 8, 2008","","[280]"
"NHL 08","EA Canada","Unreleased","September 21, 2007","September 12, 2007","","[281]"
"NHL 09","EA Canada","Unreleased","September 26, 2008","September 9, 2008","","[282]"
"NHL 10","EA Canada","Unreleased","September 18, 2009","September 15, 2009","","[283]"
"NHL 11","EA Canada","Unreleased","September 17, 2010","September 7, 2010","","[284]"
"NHL 12","EA Canada","Unreleased","September 9, 2011","September 13, 2011","","[285]"
"NHL 13","EA Canada","Unreleased","September 14, 2011","September 11, 2012","","[citation needed]"
"NHL 14","EA Canada","Unreleased","September 13, 2013","September 10, 2013","","[citation needed]"
"NHL 15","EA Canada","Unreleased","September 12, 2014","September 9, 2014","","[286][287]"
"NHL 2K7","Visual Concepts / Kush Games","Unreleased","March 23, 2007","November 13, 2006","","[288]"
"NHL 2K8","Visual Concepts / Kush Games","Unreleased","November 2, 2007","September 10, 2007","","[289]"
"NHL 2K9","Visual Concepts","April 29, 2009","September 12, 2008","September 8, 2008","","[290]"
"NHL 2K10","Visual Concepts","October 15, 2009","September 18, 2009","September 15, 2009","","[291]"
"NHL Legacy Edition","EA Canada","Unreleased","September 17, 2015","September 15, 2015","","[292]"
"Nier","Cavia","April 22, 2010","April 23, 2010","April 27, 2010","","[293]"
"Nier Replicant","Cavia","April 22, 2010","Unreleased","Unreleased","","[294]"
"Ni no Kuni: Wrath of the White Witch","Level-5, Studio Ghibli","November 17, 2011","February 1, 2013","January 22, 2013","","[295]"
"Nights into Dreams...","Sonic Team","October 4, 2012","October 3, 2012","October 2, 2012","",""
"Ninja Gaiden Sigma","Team Ninja","June 14, 2007","July 6, 2007","July 3, 2007","","[296]"
"Ninja Gaiden Sigma 2","Team Ninja","October 1, 2009","October 2, 2009","September 29, 2009","","[297]"
"Ninja Gaiden 3","Team Ninja","March 22, 2012","March 23, 2012","March 20, 2012","M","[298]"
"Ninja Gaiden 3: Razor's Edge","Team Ninja","April 4, 2013","April 5, 2013","April 2, 2013","","[299]"
"Nissan GT Academy 2013","SCEI","July 3, 2013","Unreleased","Unreleased","","[300]"
"Nitroplus Blasterz: Heroines Infinite Duel","Nitroplus","December 10, 2015","Unreleased","Unreleased","","[301]"
"Nobunaga no Yabou Online: 10-Shuunen Kinen Box (expansion)","Koei","January 24, 2013","Unreleased","Unreleased","","[302]"
"Nobunaga no Yabou Online: Houou no Shou (expansion)","Koei","March 7, 2012","Unreleased","Unreleased","","[303]"
"Nobunaga no Yabou Online: Kakusei no Shou (expansion)","Koei","December 17, 2014","Unreleased","Unreleased","","[304]"
"Nobunaga no Yabou Online: Shinsei no Shou","Koei","December 22, 2010","Unreleased","Unreleased","","[305]"
"Nobunaga no Yabou Online: Tenka Mugen no Shou (expansion)","Koei","July 10, 2013","Unreleased","Unreleased","","[306]"
"Nobunaga no Yabou Online: Yuushi no Shou (expansion)","Koei Tecmo","August 3, 2016","Unreleased","Unreleased","",""
"Nobunaga no Yabou: Souzou•Nobunaga's Ambition: Sphere of InfluenceUS","Koei","December 11, 2014","Unreleased","September 1, 2015","",""
"Nobunaga no Yabou: Souzou - Sengoku Risshiden (expansion)","Koei","March 24, 2016","Unreleased","Unreleased","","[307]"
"Nobunaga no Yabou: Souzou with power-up kit (expansion)","Koei","December 11, 2014","Unreleased","Unreleased","",""
"Nobunaga no Yabou: Tendou","Koei","March 4, 2010","Unreleased","Unreleased","","[308]"
"Nobunaga no Yabou: Tendou with Power-Up Kit (expansion)","Koei","May 26, 2011","Unreleased","Unreleased","",""
"Noby Noby Boy[309]","Bandai Namco Entertainment","February 19, 2009","February 19, 2009","February 19, 2009","",""
"Nova-111","Curve Studios","Unreleased","August 25, 2015","September 1, 2015","",""
"Novastrike","Tiki Games","Unreleased","October 23, 2008","June 5, 2008","","[310]"
"No More Heroes: Heroes' Paradise","feelplus / Grasshopper Manufacture","April 15, 2010","May 20, 2011","August 16, 2011","M","[311]"
"Novus Prime: Vindication","Hellfire Games","Unreleased","Unreleased","January 11, 2012","","[312]"
"NPPL Championship Paintball 2009","Sand Grain Studios","Unreleased","March 13, 2009","November 18, 2008","","[313]"
"Nucleus","Kuju Entertainment","July 6, 2007","July 12, 2007","July 12, 2007","","[314]"
"Numblast/Qruton","Japan Studio","June 18, 2009","July 2, 2009","November 5, 2009","",""
"Nurarihyon no Mago: Hyakki Ryouran Taisen","Arc System Works","November 17, 2011","Unreleased","Unreleased","","[315]"
"Obut Pétanque","Kylotonn Entertainment","Unreleased","October 19, 2011","Unreleased",""
"Obut Pétanque 2","Kylotonn Entertainment","Unreleased","December 12, 2012","Unreleased","","[316]"
"Oddworld: Munch's Oddysee HD","Just Add Water / Oddworld Inhabitants","Unreleased","December 19, 2012","December 24, 2012","",""
"Oddworld: New 'n' Tasty!","Just Add Water / Oddworld Inhabitants","Unreleased","April 23, 2015","April 21, 2015","",""
"Oddworld: Stranger's Wrath HD","Just Add Water","Unreleased","December 21, 2011","December 27, 2011","M","[317]"
"Of Orcs and Men","Cyanide","October 11, 2012","October 11, 2012","October 11, 2012","","[citation needed]"
"Okabu","HandCircus","Unreleased","October 19, 2011","October 18, 2011","",""
"Okami: Zekkeiban HD Remaster","Capcom","November 7, 2013","Unreleased","Unreleased","M  E","[citation needed]"
"OlliOlli","Roll7","September 24, 2014","August 27, 2014","August 26, 2014","",""
"One Piece: Pirate Warriors •One Piece: Kaizoku MusouJP","Tecmo Koei, Omega Force","Unreleased","Unreleased","Unreleased","","[318]"
"One Piece: Pirate Warriors 2","Tecmo Koei, Omega Force","March 20, 2013","September 3, 2013","September 3, 2013","","[citation needed]"
"One Piece: Pirate Warriors 3","Tecmo Koei, Omega Force","March 26, 2015","Unreleased","Unreleased","","[citation needed]"
"One Piece: Unlimited World Red","Ganbarion","June 12, 2014","June 27, 2014","June 27, 2014","","[citation needed]"
"Oneechanbara Z Kagura: with NoNoNo!","D3 Publisher","November 7, 2013","Unreleased","Unreleased","","[319]"
"Operation Creature Feature","London Studio, Playlogic Entertainment","Unreleased","October 25, 2007","November 20, 2007","E",""
"Operation Flashpoint: Dragon Rising","Codemasters","Unreleased","October 8, 2009","October 6, 2009","","[320]"
"Operation Flashpoint: Red River","Codemasters","Unreleased","April 21, 2011","June 7, 2011","","[321]"
"The Orange Box","EA UK / Valve","Unreleased","December 14, 2007","December 11, 2007","","[322]"
"Onimusha Soul","Capcom","February 25, 2014","Unreleased","Unreleased","",""
"Odin Sphere Leifthrasir","VanillaWare","January 14, 2016","June 24, 2016","June 17, 2016","","[323]"
"Orc Attack: Flatulent Rebellion","Casual Brothers Games","June 30, 2015","October 9, 2013","October 8, 2013","",""
"Order Up!","SuperVillain Studios","Unreleased","December 9, 2011","March 1, 2012","M","[324]"
"Ore no Imouto ga Konnani Kawaii Wake ga Nai Happy End HD Complete Box","Bandai Namco Games","September 26, 2013","Unreleased","Unreleased","","[325]"
"Oretachi Ni Tsubasa Wa Nai: Under the Innocent Sky","5pb.","April 10, 2014","Unreleased","Unreleased","","[326]"
"Outland","Housemarque","Unreleased","June 2, 2011","June 14, 2011","",""
"OutRun Online Arcade","Sumo Digital","Unreleased","April 16, 2009","Unreleased","","[327]"
"Overlord: Raising Hell","4J Studios / Triumph Studios","Unreleased","June 20, 2008","June 24, 2008","","[328]"
"Overlord II","Triumph Studios","Unreleased","June 26, 2009","June 23, 2009","","[329]"
"Pac-Man and the Ghostly Adventures","Bandai Namco Games","Unreleased","October 3, 2013","October 3, 2013",""
"Pac-Man and the Ghostly Adventures 2","Bandai Namco Games","Unreleased","October 14, 2014","October 14, 2014","","[citation needed]"
"Pac-Man Championship Edition DX","Bandai Namco Entertainment","November 24, 2010","November 24, 2010","November 23, 2010","",""
"Pac-Man Championship Edition DX+","Bandai Namco Entertainment","September 25, 2013","September 25, 2013","September 25, 2013","",""
"Pac-Man Museum (Ms. Pac-Man, Pac & Pal, Pac-Attack, Pac-Land, Pac-Man, Pac-Man Arrangement, Pac-Man Battle Royale, Pac-Man Championship Edition, Pac-Mania, Super Pac-Man)","Bandai Namco Entertainment","June 25, 2014","February 26, 2014","February 25, 2014","",""
"Pachi Para 15 ~Super Sea in Okinawa 2","Irem","March 25, 2010","Unreleased","Unreleased","","[330]"
"PachiPara 16: Gingira Paradise 2","Irem","October 25, 2010","Unreleased","Unreleased","","[331]"
"Pachi Para 17 ~New Sea Story With Agnes Lum","Irem","February 24, 2011","Unreleased","Unreleased","","[332]"
"Pachinko Hissatsu Shigotonin IV: Kyoraku Collection Vol. 2","Kyouraku Sangyou Holdings","November 15, 2012","Unreleased","Unreleased","","[333]"
"PachiPara DL Hyper Sea Story In Karibu","Sanyo Bussan","July 2, 2008","Unreleased","Unreleased","","[334]"
