"Title","Developer","Publisher","First released","JP","EU / PAL","NA"
"AFL Live 2004","IR Gurus","Acclaim Entertainment","2003-11-21AU","","✔AU",""
"AFL Live Premiership Edition","IR Gurus","Acclaim Entertainment","2004-04-29AU","","✔AU",""
"AFL Premiership 2005: The Official Game of the AFL Premiership","IR Gurus","SCE AustraliaAU","2005-09-22AU","","✔AU",""
"AFL Premiership 2006","IR Gurus","SCE AustraliaAU","2006-07-20AU","","✔AU",""
"AFL Premiership 2007","IR Gurus","SCE AustraliaAU","2007-06-28AU","","✔AU",""
"After...","Pionesoft","Pionesoft","2004-02-26JP","✔","",""
"Agassi Tennis Generation","Aqua Pacific","DreamCatcher Interactive","2003-08-25NA","","✔","✔"
"Age of Empires II: The Age of Kings","Ensemble Studios","Konami","2001-11-02EU","✔","✔",""
"Agent Hugo","ITE Media","ITE Media","2005-10-12PAL","","✔",""
"Agent Hugo: Hula Holiday","Attractive Games","NDS Software","2008-10-06RU","","✔",""
"Agent Hugo: Lemoon Twist","Coyote Console","ITE Media","2007-11-05PAL","","✔",""
"Agent Hugo: Roborumble","ITE Media","ITE Media","2006-10-06PAL","","✔",""
"Aggressive Inline","Z-Axis","AKA Acclaim","2002-05-28NA","","✔","✔"
"AI Igo 2003","GeneX","GeneX","2003-04-24JP","✔","",""
"AI Mahjong 2003","GeneX","GeneX","2003-04-24JP","✔","",""
"AI Shogi 2003","GeneX","GeneX","2003-04-24JP","✔","",""
"Ai Yori Aoshi","KID","KID","2003-03-20JP","✔","",""
"Aikagi","NEC Interchannel","NEC Interchannel","2003-09-25JP","✔","",""
"Air","NEC Interchannel","NEC Interchannel","2002-08-08JP","✔","",""
"Air Raid 3","Phoenix Games","Phoenix Games","2004PAL","","✔",""
"Air Ranger: Rescue Helicopter","ASK","ASKJP Midas Interactive EntertainmentEU","2001-03-29JP","✔","✔",""
"Air Ranger 2: Rescue Helicopter","ASK","ASK","2002-03-28JP","✔","",""
"Air Ranger 2 Plus: Rescue Helicopter","ASK","ASK","2003-10-30JP","✔","",""
"AirBlade","Criterion Games","Namco","2001-11-09EU","","✔","✔"
"Airborne Troops: Countdown to D-Day•Airborne TroopsPAL","WideScreen Games","Mud Duck Productions","2005-01-07NA","","✔","✔"
"Airforce Delta Strike•Deadly Skies IIIPAL•Airforce Delta: Blue Wing KnightsJP","KCE Studios","Konami","2004-02-03NA","✔","✔","✔"
"The Aka-Champion•Simple 2000 Series Vol. 94: The Aka-Champion – Come On BabyJP•Come On Baby!KO","Expotato","D3 Publisher, SCE KoreaKO","2005-12-29JP","✔JP, KO","",""
"Akagi: Yami ni Furitatta Tensai•Simple 2000 Ultimate Series Vol. 19: AkagiJP","Warashi","D3 Publisher","2002-12-12JP","✔","",""
"Akai Ito","Success Corporation","Success Corporation","2004-10-21JP","✔","",""
"Akane Iro ni Somaru Saka: Parallel","Feng","GN Software","2008-08-14JP","✔","",""
"Akira Psycho Ball","KAZe","Bandai","2002-02-17PAL","✔","✔",""
"Akudaikan","Global A","Global A","2002-08-08JP","✔","",""
"Akudaikan 2: Mousouden","Global A","Global A","2003-07-31JP","✔","",""
"Akudaikan 3","Global A","Global A","2007-03-01JP","✔","",""
"Alan Hansen's Sports Challenge","The Code Monkeys","Oxygen Interactive","2007-10-26PAL","","✔",""
"Alarm for Cobra 11 Vol. 2: Hot Pursuit•Alarm fuer Cobra 11 Vol IIDE","Davilex","Midas Interactive Entertainment","2005-06-10EU","","✔",""
"Alex Ferguson's Player Manager 2001•DSF Fußball Manager 2002DE•Guy Roux Manager 2002FR","Anco Software","3DO, Ubisoft","2001-09-21PAL","","✔",""
"Alfa Romeo Racing Italiano•S.C.A.R.: Squadra Corse Alfa RomeoEU","Milestone","Valcon Games","2005-06-24EU","","✔","✔"
"Alias","Acclaim Studios Cheltenham","Acclaim Entertainment","2004-04-05NA","","✔","✔"
"Alien Hominid","The Behemoth","O3 Entertainment, Zoo Digital PublishingEU","2004-11-21NA","","✔","✔"
"Aliens in the Attic","Revistronic","Playlogic","2009-08-04AU","","✔AU","✔"
"Aliens Versus Predator: Extinction","Zono","Electronic Arts","2003-07-30NA","","✔","✔"
"All Star Fighters•Simple 2000 Series Vol. 91: The All Star KakutouJP","D3 Publisher","D3 PublisherJP, Essential GamesPAL","2005-12-15JP","✔JP","✔",""
"All Star Pro-Wrestling","Square","Square","2000-06-08JP","✔","",""
"All Star Pro-Wrestling II","Square","Square","2001-11-22JP","✔","",""
"All Star Pro-Wrestling III","Square","Square","2003-08-07JP","✔","",""
"All-Star Baseball 2002","Acclaim Studios Austin","Acclaim Entertainment","2001-03-12NA","✔","✔","✔"
"All-Star Baseball 2003","Acclaim Studios Austin","Acclaim Entertainment","2002-02-26NA","✔","✔","✔"
"All-Star Baseball 2004","Acclaim Studios Austin","Acclaim Entertainment","2003-03-01NA","","✔","✔"
"All-Star Baseball 2005","Acclaim Studios Austin","Acclaim Entertainment","2004-04-08NA","","","✔"
"Alone in the Dark","Hydravision Entertainment","Atari","2008-06-20EU","","✔","✔"
"Alone in the Dark: The New Nightmare","Spiral House","Infogrames","2001-09-28PAL","","✔",""
"Alpine Racer 3","Namco","NamcoJP, Sony Computer EntertainmentEU","2002-03-28JP","✔","✔",""
"Alpine Ski Racing 2007","49Games","RTL PlaytainmentJoWooD Productions","2006-12-04PAL","","✔",""
"Alpine Skiing 2005","49Games","RTL PlaytainmentMidas Interactive Entertainment","2005-06-10PAL","","✔",""
"Alter Echo","Outrage Games","THQ","2003-08-19NA","","✔","✔"
"Altered Beast•Jyuouki: Project Altered BeastJP, KO","Wow Entertainment","Sega","2005-01-27JP, KO","✔JP, KO","✔",""
"Alvin and the Chipmunks","Brash Entertainment","Brash Entertainment","2007-12-04NA","","✔","✔"
"Amagami","Enterbrain","Enterbrain","2009-03-19JP","✔","",""
"Amagoushi no Yakata","Fog","Nippon Ichi Software","2007-03-08JP","✔","",""
"America Oudan Ultra-Quiz","DigiCube","DigiCube","2002-03-28JP","✔","",""
"American Chopper","Creat Studio","Activision Value, Zoo Digital PublishingEU","2004-11-25NA","","✔","✔"
"American Chopper 2: Full Throttle","Creat Studio","Activision, Zoo Digital PublishingEU, Activision ValueAU","2005-11-20NA","","✔","✔"
"American Idol•Pop IdolEU","Hothouse Creations","Codemasters","2003-11-07EU","","✔","✔"
"American Pool II","Phoenix Games","Phoenix Games","2007-03-09PAL","","✔",""
"AMF Xtreme Bowling•AMF Xtreme Bowling 2006EU","Mud Duck Productions","Mud Duck Productions, MastertronicEU","2006-06-13NA","","✔","✔"
"Amplitude","Harmonix Music Systems","Sony Computer Entertainment","2003-03-24NA","","✔","✔"
"An American Tail","Data Design Interactive","Blast! Entertainment Ltd","2007-07-12AU","","✔",""
"AND 1 Streetball","Black Ops Entertainment","Ubisoft","2006-06-06NA","","✔","✔"
"Angel Profile","GeneX","CyberFront","2007-09-27JP","✔","",""
"Angel Wish: Kimi no Egao ni Chu!","Pionesoft","Pionesoft","2005-02-24JP","✔","",""
"Angel's Feather","KID","KID","2004-03-11JP","✔","",""
"Angel's Feather: Kuro no Zanei","Blue Impact","GN Software","2005-06-30JP","✔","",""
"Angelic Concert","Success Corporation","Success Corporation","2003-03-13JP","✔","",""
"Angelique Etoile","Ruby Party","Koei","2004-09-16JP","✔","",""
"Angelique Trois","Ruby Party","Koei","2000-11-22JP","✔","",""
"Angelique Trois: Aizouhen","Ruby Party","Koei","2001-07-26JP","✔","",""
"Animal Soccer World","The Code Monkeys","Phoenix Games","2005PAL","","✔",""
"Animaniacs: The Great Edgar Hunt","Warthog","Ignition Entertainment","2005-06-24PAL","","✔",""
"The Ant Bully","Artificial Mind and Movement","Midway Games","2006-07-24NA","","✔","✔"
"Antz Extreme Racing","Supersonic Software","Empire Interactive","2002-07-26EU","","✔","✔"
"Anubis II","Data Design Interactive","Metro 3D","2005-07-14PAL","","✔",""
"Anya Nisasayaku","Idea Factory","Idea Factory","2006-02-09JP","✔","",""
"Aoi no Mamade...","Idea Factory","Idea Factory","2004-10-28JP","✔","",""
"Aoi Sora no Neosphere: Nanoca Flanka Hatsumei Koubouki 2~","Kogado Studio","Nippon Ichi Software","2007-02-22JP","✔","",""
"Aoi Umi no Tristia: Nanoca Flanka Hatsumei Koubouki","Kogado Studio","Nippon Ichi Software","2005-08-11JP","✔","",""
"Aoishiro","Success Corporation","Success Corporation","2008-05-15JP","✔","",""
"Ape Escape 2•Saru! Get You! 2JP, AS","Sony Computer Entertainment","Sony Computer Entertainment, UbisoftNA","2002-07-18JP","✔JP, AS","✔","✔"
"Ape Escape 3•Saru! Get You! 3JP, AS","Sony Computer Entertainment","Sony Computer Entertainment","2005-07-12AS","✔JP, AS, KO","✔","✔"
"Ape Escape: Pumped & Primed•Gacha Mecha Stadium Saru BattleJP","Japan Studio","Sony Computer EntertainmentJP, UbisoftNA","2004-07-01JP","✔","","✔"
"Apocripha/0","GN Software","GN Software","2004-10-28JP","✔","",""
"Appleseed EX","DreamFactory","Sega","2007-02-15JP","✔","",""
"Aqua Aqua•AquaquaJP•Aqua Aqua: Wetrix 2EU","Zed Two Limited","ImagineerJP, 3DOEU, NA","2000-11-02JP","✔","✔","✔"
"Aqua Kids","Cinepix","Yuke's","2004-08-12JP","✔","",""
"Aqua Teen Hunger Force Zombie Ninja Pro-Am","Creat Studio","Midway Games","2007-11-05NA","","✔","✔"
"Ar tonelico: Melody of Elemia•Ar tonelico: Sekai no Owari de Utai Tsudzukeru ShoujoJP","Gust","BanprestoJP, NIS AmericaNA, 505 GamesEU","2006-01-26JP","✔","✔","✔"
"Ar tonelico II: Melody of Metafalica•Ar tonelico II: Sekai ni Hibiku Shoujo Tachi no MetafalicaJP","Gust","BanprestoJP, NIS AmericaNA, EU","2007-10-25JP","✔","✔","✔"
"Arabians Lost: The Engagement on Desert","QuinRose","Prototype, QuinRose","2007-10-11JP","✔","",""
"Arc the Lad: End of Darkness•Arc the Lad: GenerationJP","Cattle Call","Sony Computer EntertainmentJP, NamcoNA","2004-11-03JP","✔","","✔"
"Arc the Lad: Twilight of the Spirits•Arc: Twilight of the SpiritsEU•Arc the Lad: Seirei no KoukonJP","Cattle Call","Sony Computer Entertainment","2003-03-20JP","✔","✔","✔"
"Arcade Action: 30 Games","SG Diffusion","Phoenix Games","2004-11-19PAL","","✔",""
"Arcade Classics Volume One","Play It!","Play It!","2006-04-21PAL","","✔",""
"Arcade USA","Mere Mortals","Phoenix Games","2006-04-21AU","","✔",""
"Arcana Heart","Konami Examu Entertainment inc.","AQ InteractiveJP, AtlusUS","2007-10-11JP","✔","","✔"
"Arcobaleno!","Idea Factory","Idea Factory","2009-05-14JP","✔","",""
"Arctic Thunder","Inland Productions","Midway Games","2001-09-17NA","","✔","✔"
"Are You Smarter Than a 5th Grader: Make the Grade","ImaginEngine","THQ","2008-10-20NA","","","✔"
"Area 51","Midway Studios Austin","Midway GamesNA, PAL, Success CorporationJP","2005-04-25NA","✔","✔","✔"
"Arena Football","EA Tiburon","EA Sports","2006-02-07NA","","","✔"
"Arena Football: Road to Glory","Budcat","EA Sports","2007-02-20NA","","","✔"
"Aria: The Natural ~Tooi Yume no Mirage~","Regista","Alchemist","2006-09-28JP","✔","",""
"Aria: The Origination ~Aoi Hoshi no Il Cielo~","Regista","Alchemist","2008-06-26JP","✔","",""
"Armen Noir","Otomate","Idea Factory","2010-12-09JP","✔","",""
"Armored Core: Formula Front","FromSoftware","FromSoftware","2005-03-03JP","✔","",""
"Armored Core: Last Raven","FromSoftware","FromSoftwareJP, Agetec Inc.NA, 505 GamesPAL","2005-08-04JP","✔","✔","✔"
"Armored Core: Nexus","FromSoftware","FromSoftwareJP, Agetec Inc.NA, Indie GamesEU","2004-03-18JP","✔","✔","✔"
"Armored Core: Nine Breaker","FromSoftware","FromSoftwareJP, Agetec Inc.NA, 505 GamesEU","2004-10-28JP","✔","✔","✔"
"Armored Core 2","FromSoftware","FromSoftwareJP, Agetec Inc.NA, UbisoftEU","2000-08-03JP","✔","✔","✔"
"Armored Core 2: Another Age","FromSoftware","FromSoftwareJP, Agetec Inc.NA, Metro3DEU","2001-04-12JP","✔","✔","✔"
"Armored Core 3","FromSoftware","FromSoftwareJP, Agetec Inc.NA, Metro3DEU","2002-04-04JP","✔","✔","✔"
"Army Men: Air Attack 2•Army Men: Air Attack – Blade's RevengeEU","3DO","3DO","2001-03-23NA","","✔","✔"
"Army Men: Green Rogue","3DO","3DO","2001-03-25NA","","✔","✔"
"Army Men: Major Malfunction","Global Star Software","Global Star Software","2006-08-04PAL","","✔",""
"Army Men: RTS•Totsugeki! Army Men: Shijou Saishou no SakusenJP","Pandemic Studios","3DONA, EU, CapcomJP","2002-03-27NA","✔","✔","✔"
"Army Men: Sarge's Heroes 2","3DO","3DONA, MidasEU","2001-01-03EU","","✔","✔"
"Army Men: Sarge's War","Tactical Development","Global Star Software","2004-07-23PAL","","✔",""
"Army Men: Soldiers of Misfortune","Big Blue Bubble","DSI Games","2008-11-04NA","","","✔"
"Art of Fighting Anthology•Ryuuko no Ken: Ten-Chi-JinJP","SNK Playmore","SNK Playmore, Crave EntertainmentEU","2005-11-06JP","✔","✔","✔"
"Arthur and the Invisibles: The Game•Arthur and the MinimoysEU•Arthur and the InvisiblesUK/AU","Etranges Libellules","Atari","2007-01-09NA","","✔","✔"
"Ashita no Joe: Masshiro ni Moe Tsukiro!","Konami","Konami","2003-12-04JP","✔","",""
"Ashita no Joe 2: The Anime Super Remix","Capcom","Capcom","2002-06-20JP","✔","",""
"Ashita no Joe Touchi: Typing Namida Hashi","Dual","SunSoft","2001-03-29JP","✔","",""
"Asobi ni Iku Yo!","Design Factory","Idea Factory","2006-07-27JP","✔","",""
"Assault Suits Valken•Juusou Kihei ValkenJP","Psikyo","NCSJP, X-NautsKO, 505 Game StreetEU","2004-08-26JP","✔JP, KO","✔",""
"Asterix & Obelix: Kick Buttix•Asterix & Obelix XXLEU","Etranges Libellules","Atari Europe","2004-03-19EU","","✔","✔"
"Asterix & Obelix XXL 2: Mission: Las Vegum","Etranges Libellules","Atari Europe","2006-06-30EU","","✔",""
"Asterix at the Olympic Games","Etranges Libellules","Atari Europe","2008-02-28AU","","✔",""
"Astro Boy•Astro Boy: Tetsuwan AtomJP","Sonic Team","Sega","2004-03-18JP","✔","✔","✔"
"Astro Boy: The Video Game","High Voltage Software","D3 Publisher","2009-10-20NA","","✔","✔"
"Astro Kyuudan: Kessen!! Victory Kyuudanhen","Sunrise Interactive","Sunrise Interactive","2005-11-23JP","✔","",""
"Atari Anthology","Digital Eclipse","Atari","2004-11-22NA","","✔","✔"
"Atelier Iris: Eternal Mana•Iris no Atelier: Eternal ManaJP","Gust","GustJP, NIS AmericaNA, KoeiEU, THQAU","2004-05-27JP","✔","✔","✔"
"Atelier Iris 2: The Azoth of Destiny•Iris no Atelier: Eternal Mana 2JP","Gust","GustJP, NIS AmericaNA, KoeiEU, THQAU","2005-05-26JP","✔","✔","✔"
"Atelier Iris 3: Grand Phantasm•Iris no Atelier: Grand FantasmJP","Gust","GustJP, NIS AmericaNA, KoeiEU, THQAU","2006-06-29JP","✔","✔","✔"
"Atelier Marie + Elie","Gust","Gust","2005-10-27JP","✔","",""
"Athens 2004","Eurocom Entertainment Software","Sony Computer Entertainment","2004-07-02EU","✔","✔","✔"
"Atlantis III: The New World","Cryo Interactive","Cryo Interactive","2002-02-08EU","","✔",""
"A-Train 6•A6: A-Ressha de Ikou 6JP","Artdink","ArtdinkJP, Midas Interactive EntertainmentEU","2000-03-04JP","✔","✔",""
"ATV Offroad Fury•ATV OffroadEU","Rainbow Studios","Sony Computer Entertainment","2001-02-05NA","","✔","✔"
"ATV Offroad Fury 2","Rainbow Studios","Sony Computer Entertainment","2002-11-09NA","","✔","✔"
"ATV Offroad Fury 3","Climax Group","Sony Computer EntertainmentNA, SouthPeak GamesEU","2004-11-02NA","","✔","✔"
"ATV Offroad Fury 4","Climax Group","Sony Computer Entertainment","2006-10-31NA","","✔","✔"
"ATV Quad Power Racing 2","Climax Brighton","AKA Acclaim","2003-01-13NA","","✔","✔"
"Austin Mini Racing","Data Design Interactive","Metro3D Europe","2006-03-17EU","","✔",""
"Australian Idol Sing","Milestone","Black Bean Games","2006-09-19AU","","✔AU",""
"Auto Modellista•Auto Modellista: U.S.-TunedJP","Capcom","Capcom","2002-08-22JP","✔JP, KO","✔","✔"
"Autobahn Raser IV","Davilex","Davilex","2002-12-31EU","","✔",""
"Autobahn Raser: Das Spiel zum Film","Davilex","Davilex","2004-04-29EU","","✔",""
"Avatar: The Last Airbender•Avatar: The Legend of AangPAL","THQ Studio Australia","THQ","2006-10-10NA","","✔","✔"
"Avatar: The Last Airbender – The Burning Earth•Avatar: The Legend of Aang – The Burning EarthPAL","THQ Studio Australia","THQ","2007-10-16NA","","✔","✔"
"Avatar: The Last Airbender – Into the Inferno•Avatar – The Legend of Aang: Into the InfernoPAL","THQ Studio Australia","THQ","2008-10-13NA","","✔","✔"
"Ayakashibito","Dimple Entertainment","Dimple Entertainment","2006-08-31JP","✔","",""
"Azumi•Simple 2000 Ultimate Series Vol. 32: AzumiJP","Gargoyle Mechanics","ESP Software, D3 Publisher","2005-03-24JP","✔","",""
"Azur & Asmar","Wizarbox","Emme","2007-04-26PAL","","✔",""
"B-Boy","FreeStyleGames","Evolved GamesNA, Sony Computer EntertainmentPAL","2006-09-29EU","","✔"
"Babe","Aqua Pacific","Blast! Entertainment Ltd","2006-10-13PAL","","✔",""
"Backyard Baseball","Humongous Entertainment","Atari","2004-03-23NA","","","✔"
"Backyard Baseball '09","Humongous Entertainment","Atari","2008-06-10NA","","","✔"
"Backyard Baseball '10","Farsight Studios","Atari","2009-04-28NA","","","✔"
"Backyard Basketball•Junior Sports BasketballEU","Humongous Entertainment","Atari","2003-10-21NA","","✔","✔"
"Backyard Football '08","FarSight Technologies","Atari","2007-10-16NA","","","✔"
"Backyard Football '09","FarSight Technologies","Atari","2008-10-21NA","","","✔"
"Backyard Football '10","FarSight Technologies","Atari","2009-10-20NA","","","✔"
"Backyard Football 2006","Humongous Entertainment","Atari","2005-10-04NA","","","✔"
"Backyard Sports: Baseball 2007","Game Brains","Atari","2006-09-05NA","","","✔"
"Backyard Sports: Basketball 2007","Game Brains","Atari","2007-02-13NA","","","✔"
"Backyard Wrestling: Don't Try This at Home","Paradox Development","Eidos Interactive","2003-10-07NA","✔","✔","✔"
"Backyard Wrestling 2: There Goes the Neighborhood","Paradox Development","Eidos Interactive","2004-11-16NA","✔","✔","✔"
"Bad Boys: Miami Takedown•Bad Boys IIEU","Blitz Games","Empire InteractiveEU, Crave EntertainmentNA","2004-02EU","","✔","✔"
"Bakufuu Slash! Kizna Arashi","Sony Computer Entertainment","Sony Computer Entertainment","2004-11-03JP","✔","",""
"Bakugan Battle Brawlers","Now Production","Activision","2009-10-20NA","","✔","✔"
"Bakumatsu Renka: Karyuu Kenshiden","Vridge","D3 Publisher","2007-10-04JP","✔","",""
"Bakumatsu Renka: Shinsengumi","Vridge","D3 Publisher","2004-12-22JP","✔","",""
"Bakumatsu Rouman: Gekka no Kenshi 1-2","SNK Playmore","SNK Playmore","2006-01-12JP","✔","",""
"Bakushou! Jinsei Kaidou","Taito","Taito","2004-03-18JP","✔","",""
"Bakusou Dekotora Densetsu: Otoko Hanamichi Yume Roman","Dual","Spike","2003-01-23JP","✔","",""
"Baldr Bullet: Equilibrium","TGL","Alchemist","2007-10-25JP","✔","",""
"Baldr Force EXE","HuneX","Alchemist","2005-04-07JP","✔","",""
"Baldur's Gate: Dark Alliance","Snowblind Studios","Interplay EntertainmentEU, NA, Pacific Century Cyber WorksJP","2001-12-02NA","✔","✔","✔"
"Baldur's Gate: Dark Alliance II","Black Isle Studios","Interplay Entertainment","2004-01-20NA","✔","✔","✔"
"Band Hero","BudCat","Activision","2009-11-03NA","","✔","✔"
"Barbarian•Warrior Blade: Rastan vs. BarbarianJP","Saffire","Titus SoftwareNA/EU, TaitoJP","2002-06-27NA","✔","✔","✔"
"Barbie as the Island Princess","Human Soft","Activision","2007-10-30NA","","✔","✔"
"Barbie Horse Adventures: Riding Camp","Pixel Tales","Activision","2008-10-21NA","","✔","✔"
"Barbie Horse Adventures: Wild Horse Rescue","Blitz Games","Vivendi Universal Games","2003-11-04NA","","✔","✔"
"Barbie in the 12 Dancing Princesses","Blue Monkey Studios","Activision","2006-11-28NA","","✔","✔"
"The Bard's Tale","InXile Entertainment","InXile EntertainmentNA, UbisoftEU","2004-10-26NA","","✔","✔"
"Barnyard","Blue Tongue","THQ","2006-08-01NA","","✔","✔"
"Baroque•Baroque InternationalJP","Sting Entertainment","Sting EntertainmentJP, AtlusNA, Rising Star GamesEU","2008-04-08NA","✔","✔","✔"
"The Baseball 2002: Battle Ball Park Sengen","Konami","Konami","2002-03-28JP","✔","",""
"The Baseball 2003","Konami","Konami","2003-03-20JP","✔","",""
"The Baseball 2003: Akikigou","Konami","Konami","2003-09-04JP","✔","",""
"Baseball Live 2005","Namco","Namco","2005-04-21JP","✔","",""
"Baseball Mania•Simple 2000 Series Vol. 57: The Pro Yakyuu 2004JP","Tamsoft","D3 PublisherJP, 505 Game StreetEU","2004-08-05JP","✔","✔",""
"Basic Studio: Powerful Game Koubou","Artdink","Artdink","2001-04-19JP","✔","",""
"Baskelian","Jorudan","Jorudan","2003-08-07JP","✔","",""
