"Title","Developer(s)","Release date","","","Options","Ref."
"","","JP","","","PAL","NA"
"#killallzombies","Beatshapers","Unreleased","March 17, 2017","March 7, 2017",""
"&: Sora no Mukō de Saki Masuyō ni","Akatsuki Works","December 26, 2013","Unreleased","Unreleased","","[1]"
".detuned",".theprodukkt","September 17, 2009","October 15, 2009","October 15, 2009","","[2]"
".hack//Versus","CyberConnect2","June 28, 2012","Unreleased","Unreleased","3D","[3]"
"007 Legends","Eurocom","Unreleased","October 19, 2012","October 16, 2012","","[4]"
"007: Quantum of Solace","Treyarch","Unreleased","October 31, 2008","November 4, 2008","","[5]"
"100-Yen Gomibako","SCEI","July 16, 2009","Unreleased","Unreleased","","[6]"
"1942: Joint Strike","Backbone Entertainment","Unreleased","July 24, 2008","July 24, 2008","","[7]"
"2010 FIFA World Cup South Africa","EA Canada","May 13, 2010","April 29, 2010","April 27, 2010","","[8]"
"2014 FIFA World Cup Brazil","EA Canada","April 24, 2014","April 17, 2014","April 15, 2014","","[9]"
"3 on 3 NHL Arcade","EA Canada","February 12, 2009","February 5, 2009","February 5, 2009","","[citation needed]"
"3D Dot Game Heroes","Silicon Studio","November 5, 2009","May 14, 2010","May 11, 2010","","[10]"
"428: Shibuya Scramble","Chunsoft","September 3, 2009","Unreleased","Unreleased","","[11]"
"4 Elements","Boolat Games","Unreleased","August 31, 2011","August 30, 2011","M","[12]"
"50 Cent: Blood on the Sand","Swordfish Studios","July 23, 2009","February 20, 2009","February 24, 2009","","[13]"
"5 Star Wrestling","Serious Parody","Unreleased","March 18, 2015","March 17, 2015","","[citation needed]"
"99Vidas","QUByte Interactive","Unreleased","Unreleased","July 18, 2017","","[citation needed]"
"A-Men","Bloober Team","Unreleased","October 17, 2012","March 26, 2013",""
"A-Men 2","Bloober Team","Unreleased","November 6, 2013","November 5, 2013","","[citation needed]"
"A Boy and His Blob","Abstraction Games","Unreleased","June 28, 2016","June 28, 2016","","[citation needed]"
"Aabs Animals","Aabs","December 19, 2013","December 18, 2013","December 17, 2013","","[citation needed]"
"Aaru's Awakening","Lumenox Games","August 5, 2015","April 8, 2015","April 7, 2015","","[citation needed]"
"Absolute Supercars","Eutechnyx","August 29, 2013","November 6, 2012","November 6, 2012","","[14]"
"Abyss Odyssey","ACE Team","Unreleased","July 16, 2014","July 15, 2014","","[citation needed]"
"Accel World: Ginyoku no Kakusei","Bandai Namco Games","September 13, 2012","Unreleased","Unreleased","","[15]"
"Accel World: Kasoku no Chouten","Bandai Namco Games","January 31, 2013","Unreleased","Unreleased","","[16]"
"Acceleration of Suguri X Edition","Rockin' Android","Unreleased","February 16, 2011","February 15, 2011","","[citation needed]"
"AC/DC Live: Rock Band Track Pack","Harmonix Music Systems","Unreleased","April 19, 2009","November 18, 2008","","[17]"
"Ace Combat: Assault Horizon","Namco","October 13, 2011","October 14, 2011","October 11, 2011","","[18]"
"Ace Combat Infinity","Namco","May 20, 2014","May 28, 2014","May 27, 2014","F2P","[citation needed]"
"Action Henk","RageSquid","Unreleased","Unreleased","January 31, 2013","","[19]"
"Adidas miCoach","Lightning Fish","Unreleased","July 24, 2012","July 13, 2012","M","[20]"
"Adam's Venture Chronicles","Vertigo Games","Unreleased","February 4, 2014","February 4, 2014","","[21]"
"The Adventures of Tintin: The Secret of the Unicorn","Ubisoft Montpellier","Unreleased","October 21, 2011","December 6, 2011","3D  M","[22]"
"Adventure Time: Explore the Dungeon Because I Don't Know!","WayForward Technologies","Unreleased","November 14, 2013AUNovember 15, 2013EU","November 19, 2013","","[23]"
"Adventure Time: Finn & Jake Investigations","Vicious Cycle Software","Unreleased","November 6, 2015","October 20, 2015","","[24]"
"Adventure Time: The Secret of the Nameless Kingdom","WayForward Technologies","November 18, 2014","November 18, 2014","November 18, 2014","","[25]"
"Aegis of Earth: Protonovus Assault","Acquire","July 2, 2015","April 22, 2016","March 15, 2016","","[26]"
"AFL Live","Big Ant Studios","Unreleased","April 21, 2011AU","Unreleased","","[27]"
"AFL Live 2","Wicked Witch Software","Unreleased","September 12, 2013AU","Unreleased","","[28]"
"Afrika •Hakuna MatataAsia","Rhino Studios","August 28, 2008","Unreleased","October 13, 2009","","[29]"
"Afro Samurai","Namco Bandai","Unreleased","March 27, 2009","January 27, 2009","","[30]"
"After Burner Climax","Sega","April 21, 2010","April 22, 2010","April 22, 2010","","[citation needed]"
"Age of Booty","Certain Affinity","Unreleased","November 27, 2008","November 13, 2008","","[31]"
"Air Conflicts: Pacific Carriers","Games Farm","Unreleased","December 7, 2012","August 6, 2013","M","[32]"
"Air Conflicts: Secret Wars","Games Farm","Unreleased","July 8, 2011","November 15, 2011","M","[33]"
"Air Conflicts: Vietnam","Games Farm","September 12, 2013","October 18, 2013","November 19, 2013","M","[34]"
"Akatsuki no Goei Trinity","M2","September 20, 2012","Unreleased","Unreleased","","[35]"
"AKB1/149 Ren'ai Sōsenkyo","Namco Bandai Games","September 12, 2013","Unreleased","Unreleased","","[36]"
"Akiba's Trip: Undead & Undressed","Acquire / XSEED / NIS America","November 7, 2013","October 10, 2014","August 12, 2014","","[37]"
"Akimi Village","NinjaBee","Unreleased","June 21, 2011","June 14, 2011","","[citation needed]"
"Alex Kidd in Miracle World","Sega","May 23, 2012","May 23, 2012","May 22, 2012","","[citation needed]"
"Alice: Madness Returns","Spicy Horse","July 21, 2011","June 16, 2011","June 14, 2011","","[38]"
"Alien Breed","Team17","Unreleased","February 6, 2013","February 12, 2013","","[citation needed]"
"Alien Breed 2: Assault","Team17","Unreleased","December 8, 2010","December 7, 2010","","[citation needed]"
"Alien Breed 3: Descent","Team17","Unreleased","February 23, 2011","February 22, 2011","","[citation needed]"
"Alien Breed: Impact","Team17","Unreleased","September 1, 2010","October 5, 2010","","[39]"
"Alien Rage","CI Games","February 6, 2014","October 23, 2013","October 22, 2013","","[citation needed]"
"Alien Shooter","Sigma Team","Unreleased","January 8, 2016","March 8, 2016","","[citation needed]"
"Alien Spidy","Enigma Software Productions","Unreleased","May 8, 2013","July 16, 2013","","[citation needed]"
"Alien Zombie Mega Death","PomPom Games","Unreleased","July 6, 2011","June 21, 2011","","[citation needed]"
"Aliens: Colonial Marines","Gearbox Software","Unreleased","February 12, 2013","February 12, 2013","","[40]"
"Alien: Isolation","Creative Assembly","Unreleased","October 7, 2014","October 7, 2014","","[41]"
"Aliens vs. Predator","Rebellion Developments","Unreleased","February 19, 2010","February 16, 2010","","[42]"
"All-Pro Football 2K8","Visual Concepts","Unreleased","Unreleased","July 16, 2007","","[43]"
"All Zombies Must Die!","DoubleSix","Unreleased","January 4, 2012","December 27, 2011","3D","[citation needed]"
"Alone in the Dark: Inferno","Eden Studios","December 25, 2008","November 21, 2008","November 18, 2008","","[44]"
"Alpha Protocol","Obsidian Entertainment","Unreleased","May 28, 2010","June 1, 2010","","[45]"
"Altered Beast","Sega","August 31, 2011","September 21, 2011","September 20, 2011","","[citation needed]"
"The Amazing Spider-Man","Beenox","Unreleased","June 29, 2012","June 26, 2012","M","[46]"
"The Amazing Spider-Man 2","Beenox","Unreleased","May 2, 2014","April 29, 2014","","[47]"
"American McGee's Alice","Spicy Horse","Unreleased","Unreleased","June 14, 2011","","[48]"
"American Mensa Academy","Silverball Studios","Unreleased","December 12, 2012","February 5, 2013","","[citation needed]"
"Amplitude","Harmonix","Unreleased","April 5, 2016","April 5, 2016","","[citation needed]"
"AMY","VectorCell","Unreleased","January 11, 2012","January 17, 2012","","[citation needed]"
"Anarchy: Rush Hour","Gaijin Entertainment","Unreleased","May 5, 2010","March 25, 2010","","[citation needed]"
"Anarchy Reigns","PlatinumGames","July 5, 2012","January 11, 2013","January 8, 2013","","[49]"
"Angel Love Online","UserJoy Technology","July 7, 2011","Unreleased","Unreleased","F2P","[50]"
"Angel Senki","UserJoy Technology","July 7, 2011","Unreleased","Unreleased","","[citation needed]"
"Anna: Extended Edition","Dreampainters","Unreleased","April 1, 2015","March 31, 2015","","[citation needed]"
"Anomaly: Warzone Earth","11 bit studios","Unreleased","August 29, 2012","September 11, 2012","","[citation needed]"
"Another World: 20th Anniversary Edition","The Digital Lounge","Unreleased","June 25, 2014","July 8, 2014","","[citation needed]"
"Another Century's Episode: R","From Software","August 19, 2010","Unreleased","Unreleased","","[51]"
"Angry Birds Star Wars","Rovio Entertainment","Unreleased","November 1, 2013","October 29, 2013","M","[52]"
"Angry Birds Trilogy","Rovio Entertainment","Unreleased","September 28, 2013","September 25, 2013","M","[53]"
"Apache: Air Assault","Gaijin Entertainment","Unreleased","November 19, 2011","November 16, 2011","","[54]"
"Apples to Apples","ImaginEngine","Unreleased","Unreleased","December 20, 2011","","[citation needed]"
"Aqua Panic!","Eko Software","Unreleased","April 8, 2010","October 19, 2010","","[citation needed]"
"Aqua Vita","London Studio, Playlogic Entertainment","Unreleased","October 25, 2007","November 20, 2007","E",""
"Aquanaut's Holiday: Hidden Memories","Irem","September 25, 2008","Unreleased","Unreleased","","[55]"
"Aquapazza: Aquaplus Dream Match","Examu","August 30, 2012","Unreleased","November 19, 2013","","[56]"
"Ar Nosurge","Gust Co. Ltd.","March 6, 2014","September 26, 2014","September 23, 2014","","[57]"
"Arcana Heart 3","Examu","January 13, 2011","August 19, 2011","April 19, 2011","","[58]"
"Arcana Heart 3: Love Max!!!!!","Examu","May 29, 2014","November 20, 2014","September 23, 2014","","[59]"
"Arcania: The Complete Tale","Black Forest Games","Unreleased","July 15, 2013","August 30, 2013","","[citation needed]"
"Ar tonelico Qoga: Knell of Ar Ciel","Gust Corporation","January 28, 2010","April 1, 2011","March 15, 2011","","[60]"
"Arkedo Series – 001 JUMP!","Arkedo Studio","Unreleased","August 24, 2011","October 16, 2012","","[citation needed]"
"Arkedo Series – 002 SWAP!","Arkedo Studio","Unreleased","September 21, 2011","October 16, 2012","","[citation needed]"
"Arkedo Series – 003 PIXEL!","Arkedo Studio","Unreleased","September 28, 2011","October 16, 2012","","[citation needed]"
"Armageddon Riders","Targem Games","Unreleased","June 2, 2011","June 3, 2011","","[citation needed]"
"Armored Core 4","From Software","December 21, 2006","June 22, 2007","March 20, 2007","","[61]"
"Armored Core: For Answer","From Software","March 19, 2008","October 31, 2008","September 16, 2008","","[62]"
"Armored Core V","From Software","January 26, 2012","March 23, 2012","March 20, 2012","","[63]"
"Armored Core: Verdict Day","From Software","September 26, 2013","September 27, 2013","September 24, 2013","","[64]"
"Army of Two","EA Montreal","March 19, 2008","March 7, 2008","March 4, 2008","","[65]"
"Army of Two: The 40th Day","EA Montreal","March 25, 2010","January 15, 2010","January 12, 2010","","[66]"
"Army of Two: The Devil's Cartel","Visceral Montreal","March 28, 2013","March 29, 2013","March 26, 2013","","[67]"
"Arslan: The Warriors of Legend","Koei Tecmo Games","February 9, 2016","Unreleased","Unreleased","","[68]"
"Arthur and the Revenge of Maltazard","Ubisoft","Unreleased","September 24, 2010","Unreleased","","[69]"
"Asdivine Hearts","Kemco","December 13, 2016","Unreleased","January 7, 2017","","[citation needed]"
"Ashes Cricket 2009","Transmission Games","Unreleased","August 6, 2009","Unreleased","","[70]"
"Assassin's Creed","Ubisoft Montreal","November 29, 2007","November 16, 2007","November 14, 2007","","[71]"
"Assassin's Creed II","Ubisoft Montreal","December 3, 2009","November 19, 2009","November 17, 2009","","[72]"
"Assassin's Creed III","Ubisoft Montreal","Unreleased","October 31, 2012","October 30, 2012","3D","[73]"
"Assassin's Creed: Liberation HD","Ubisoft Sofia","March 27, 2014","January 15, 2014","January 14, 2014","","[citation needed]"
"Assassin's Creed IV: Black Flag","Ubisoft Montreal","November 28, 2013","November 1, 2013","October 29, 2013","","[74]"
"Assassin's Creed: Brotherhood","Ubisoft Montreal","December 9, 2010","November 19, 2010","November 16, 2010","","[75]"
"Assassin's Creed: Revelations","Ubisoft Montreal","December 1, 2011","November 15, 2011","November 15, 2011","3D","[76]"
"Assassin's Creed Rogue","Ubisoft Sofia","December 11, 2014","November 13, 2014","November 11, 2014","","[77]"
"Assault Heroes","Wanako Games","Unreleased","Unreleased","January 28, 2010","","[citation needed]"
"Astro Tripper","PomPom Games","August 19, 2010","December 11, 2008","March 12, 2009","","[78]"
"Asura's Wrath","CyberConnect2","February 23, 2012","February 24, 2012","February 21, 2012","","[79]"
"Atelier Ayesha: The Alchemist of Dusk","Gust Corporation","June 28, 2012","March 8, 2013","March 5, 2013","","[80]"
"Atelier Escha & Logy: Alchemists of the Dusk Sky","Gust Corporation","June 27, 2013","March 11, 2014","March 7, 2014","","[81]"
"Atelier Meruru: The Apprentice of Arland","Gust Corporation","June 23, 2011","May 25, 2012","May 29, 2012","","[82]"
