"Title","Developer(s)","Release date","","","Options","Ref."
"Atelier Rorona: The Alchemist of Arland","Gust Corporation","June 25, 2009","October 22, 2010","September 28, 2010","","[83]"
"Atelier Rorona Plus: The Alchemist of Arland","Gust Corporation","November 21, 2013","June 20, 2014","June 24, 2014","","[84][85]"
"Atelier Shallie: Alchemists of the Dusk Sea","Gust Corporation","July 17, 2014","March 13, 2015","March 10, 2015","","[86]"
"Atelier Sophie: The Alchemist of the Mysterious Book","Gust Corporation","November 19, 2015","Unreleased","Unreleased","","[citation needed]"
"Atelier Totori: The Adventurer of Arland","Gust Corporation","June 24, 2010","September 27, 2011","September 30, 2011","","[87]"
"Atomic Ninjas","Grip Digital","Unreleased","October 2, 2013","October 8, 2013","","[citation needed]"
"Attack on Titan","Koei Tecmo Games","February 18, 2016","August 26, 2016","August 30, 2016","","[88]"
"Auditorium HD","Cipher Prime / Empty Clip Studios","Unreleased","Unreleased","November 23, 2010","3D  M","[89]"
"Avatar: The Game","Ubisoft Montreal","Unreleased","December 4, 2009","December 1, 2009","3D","[90]"
"The Awakened Fate Ultimatum","Nippon Ichi Software","September 25, 2014","March 27, 2015","March 25, 2015","","[citation needed]"
"Awesomenauts","Ronimo Games","Unreleased","May 2, 2012","May 1, 2012","","[citation needed]"
"Babel Rising","Mondo Productions","Unreleased","June 13, 2012","June 12, 2012",""
"Back to Bed","Bedtime Digital Games","February 9, 2017","August 25, 2015","August 25, 2015","",""
"Back to the Future: The Game","Telltale Games","Unreleased","May 4, 2012","October 25, 2011","","[91]"
"Backbreaker","NaturalMotion","Unreleased","June 25, 2010","June 1, 2010","","[92]"
"Backbreaker: Vengeance","NaturalMotion","Unreleased","August 24, 2011","Unreleased","","[93]"
"Backgammon Blitz","VooFoo Studios","Unreleased","January 29, 2014","April 15, 2014","",""
"Badland: Game of the Year Edition","Frogmind","June 7, 2017","May 28, 2015","May 26, 2015","",""
"Baja: Edge of Control","2XL Games","Unreleased","September 26, 2008","September 22, 2008","","[94]"
"Bakugan Battle Brawlers","Now Production","Unreleased","October 23, 2009","October 20, 2009","","[95]"
"Bakugan: Defenders of the Core","Now Production","Unreleased","October 29, 2010","October 26, 2010","","[96]"
"BandFuse: Rock Legends","Realta Entertainment Group","December 19, 2013","Unreleased","November 19, 2013","","[97]"
"Band Hero","Neversoft","Unreleased","November 6, 2009","November 3, 2009","","[98]"
"Bang!","SpinVector","Unreleased","October 16, 2015","Unreleased","",""
"Bang Bang Racing","Digital Reality","Unreleased","June 13, 2012","June 5, 2012","",""
"Barbie & Her Sisters: Puppy Rescue","Torus Games","Unreleased","November 20, 2015","December 17, 2015","","[99]"
"Barnanza","Straight Right","Unreleased","November 16, 2016","Unreleased","",""
"Batman: Arkham Asylum","Rocksteady Studios","January 14, 2010","August 28, 2009","August 25, 2009","","[100]"
"Batman: Arkham City","Rocksteady Studios","November 23, 2011","October 21, 2011","October 18, 2011","3D","[101]"
"Batman: Arkham Origins","WB Games Montréal","December 5, 2013","October 25, 2013","October 25, 2013","","[102]"
"Batman: Arkham Origins Blackgate – Deluxe Edition","Armature Studio","Unreleased","April 2, 2014","April 1, 2014","",""
"Batman: The Telltale Series","Telltale Games","September 13, 2016","September 13, 2016","September 13, 2016","","[103]"
"Battle Fantasia","Arc System Works","May 29, 2008","March 6, 2009","December 22, 2009","","[104]"
"Battle of Tiles EX","Bimboosoft","January 24, 2013","October 9, 2013","October 8, 2013","",""
"Battle Tanks","Gameloft","April 22, 2010","August 27, 2009","September 3, 2009","",""
"Battle vs. Chess","Targem Games / Zuxxez Entertainment","Unreleased","May 11, 2011","Unreleased","","[105]"
"Battle: Los Angeles","Live Action Studios","Unreleased","April 20, 2011","March 22, 2011","",""
"Battlefield 1943","EA DICE","July 16, 2009","July 9, 2009","July 9, 2009","","[106]"
"Battlefield 3","EA Digital Illusions CE","November 2, 2011","October 28, 2011","October 25, 2011","","[107]"
"Battlefield 4","EA Digital Illusions CE","October 31, 2013","November 1, 2013","October 29, 2013","","[108]"
"Battlefield Hardline","EA Digital Illusions CE","March 29, 2015","March 20, 2015","March 17, 2015","","[109]"
"Battlefield: Bad Company","EA Digital Illusions CE","August 28, 2008","June 27, 2008","June 23, 2008","","[110]"
"Battlefield: Bad Company 2","EA Digital Illusions CE","March 11, 2010","March 5, 2010","March 2, 2010","","[111]"
"Battle Princess of Arcadias","ApolloSoft","June 17, 2014","Unreleased","Unreleased","","[112]"
"Battleship","Double Helix Games","Unreleased","April 20, 2012","May 15, 2012","","[113]"
"Bayonetta","PlatinumGames","October 29, 2009","January 8, 2010","January 5, 2010","","[114]"
"Beat Hazard Ultra","Cold Beam Games","Unreleased","October 19, 2011","October 18, 2011","",""
"Beat Sketcher","Japan Studio","October 21, 2010","Unreleased","December 1, 2010","M","[115]"
"The Beatles: Rock Band","Harmonix Music Systems","Unreleased","September 9, 2009","September 9, 2009","","[116]"
"Beer Pong!","JV Games","Unreleased","Unreleased","October 22, 2013","",""
"Beijing 2008","Eurocom","July 31, 2008","June 27, 2008","July 8, 2008","","[117]"
"Bejeweled 2","PopCap Games","Unreleased","May 14, 2009","January 29, 2009","","[118]"
"Bejeweled 3","PopCap Games","Unreleased","April 27, 2012","April 27, 2012","","[119]"
"Bellator: MMA Onslaught","Kung Fu Factory","Unreleased","Unreleased","July 3, 2012","",""
"Ben 10: Galactic Racing","D3 Publisher","Unreleased","November 25, 2011","November 25, 2011","","[120]"
"Ben 10: Omniverse","D3 Publisher","Unreleased","November 13, 2012","November 13, 2012","","[121]"
"Ben 10: Omniverse 2","D3 Publisher","Unreleased","November 22, 2013","November 22, 2013","","[122]"
"Ben 10 Ultimate Alien: Cosmic Destruction","D3 Publisher","Unreleased","October 29, 2010","October 29, 2010","","[123]"
"Bentley's Hackpack","Sanzaru Games","Unreleased","February 6, 2013","February 5, 2013","",""
"Beowulf: The Game","Ubisoft Shanghai","Unreleased","November 23, 2007","November 13, 2007","","[124]"
"Best of Arcade Games (Air Hockey, Brick Breaker, Bubble Buster, Tetraminos)","Bigben Interactive","Unreleased","January 21, 2015","January 20, 2015","",""
"Best of Board Games (Chess, Mahjong, Solitaire)","Bigben Interactive","Unreleased","Unreleased","October 14, 2014","",""
"Best of PlayStation Network Vol. 1","SCEA","Unreleased","June 25, 2013","June 25, 2013","","[125]"
"Beyond Good & Evil HD","Ubisoft Shanghai","Unreleased","June 8, 2011","June 28, 2011","",""
"Beyond the Future: Fix the Time Arrows","M2","October 12, 2011","Unreleased","Unreleased","","[126]"
"Beyond: Two Souls","Quantic Dream","October 17, 2013","October 11, 2013","October 8, 2013","","[127]"
"Bikkuri Pachinko: Ashita no Joe – Kyoraku Collection Vol.1","Kyoraku Sangyou Holdings","April 29, 2011","Unreleased","Unreleased","","[citation needed]"
"Big Sky Infinity","Boss Baddie","Unreleased","December 12, 2012","December 11, 2012","",""
"Bionic Commando","GRIN","June 25, 2009","May 22, 2009","May 19, 2009","","[128]"
"Bionic Commando Rearmed","GRIN","August 13, 2008","August 28, 2008","August 14, 2008","","[129]"
"Bionic Commando Rearmed 2","Fatshark","Unreleased","February 2, 2011","February 1, 2011","",""
"Binary Domain","Sega","February 16, 2012","February 24, 2012","February 28, 2012","","[130]"
"BioShock","Irrational Games / 2K Marin","December 25, 2008","October 17, 2008","October 21, 2008","","[131]"
"BioShock 2","2K Marin / Digital Extremes / 2K Australia / 2K China / Arkane Studios","March 4, 2010","February 9, 2010","February 9, 2010","","[132]"
"BioShock Infinite","Irrational Games","March 26, 2013","March 26, 2013","March 26, 2013","M","[133]"
"Birds of Steel","Gaijin Entertainment","March 8, 2012","March 16, 2012","March 13, 2012","","[134]"
"Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien","Gaijin Games","Unreleased","August 21, 2013","March 5, 2013","",""
"Black Knight Sword","Grasshopper Manufacture","January 10, 2013","Unreleased","December 11, 2012","",""
"Blacklight: Tango Down","Zombie Studios","Unreleased","November 3, 2010","October 26, 2010","",""
"BlackSite: Area 51","Midway Studios Austin","Unreleased","March 7, 2008","December 10, 2007","","[135]"
"Blade Arcus from Shining EX","Sega","November 26, 2015","Unreleased","Unreleased","","[136]"
"Blade Kitten","Krome Studios","Unreleased","September 22, 2010","September 20, 2010","",""
"Blades of Time","Gaijin Entertainment","March 8, 2012","March 16, 2012","March 6, 2012","","[137]"
"Bladestorm: Nightmare","Koei Tecmo Games","January 29, 2015","April 15, 2015","March 17, 2015","","[138]"
"Bladestorm: The Hundred Years' War","Omega Force","August 30, 2007","November 2, 2007","November 6, 2007","","[139]"
"Blast Factor[140]","Bluepoint Games","November 11, 2006","March 23, 2007","November 17, 2006","",""
"BlazBlue: Calamity Trigger","Arc System Works","June 25, 2009","April 2, 2010","June 30, 2009","","[141]"
"BlazBlue: Central Fiction","Arc System Works","October 6, 2016","November 4, 2016","November 1, 2016","","[142]"
"BlazBlue: Continuum Shift","Arc System Works","July 1, 2010","December 3, 2010","July 27, 2010","","[143]"
"BlazBlue: Continuum Shift Extend","Arc System Works","December 17, 2011","February 22, 2012","February 14, 2012","","[144]"
"BlazBlue: Chrono Phantasma","Arc System Works","November 21, 2013","April 23, 2014","March 25, 2014","","[145]"
"BlazBlue: Chrono Phantasma Extend","Arc System Works","April 23, 2015","October 23, 2015","June 30, 2015","","[146]"
"BlazeRush","Targem Games","Unreleased","October 29, 2014","November 4, 2014","",""
"Blazing Angels: Squadrons of WWII","Ubisoft Bucharest","July 5, 2007","March 23, 2007","December 12, 2006","","[147]"
"Blazing Angels 2: Secret Missions of WWII","Ubisoft Bucharest","March 19, 2008","November 23, 2007","November 6, 2007","","[148]"
"Bleach: Soul Resurrección","Japan Studio","June 23, 2011","September 16, 2011","August 2, 2011","","[149]"
"Blitz: The League II","Midway Games","Unreleased","October 24, 2008","October 13, 2008","","[150]"
"Blokus","Gameloft","January 12, 2011","December 22, 2010","December 21, 2010","",""
"Blood Drive","Sidhe","Unreleased","November 19, 2010","November 2, 2010","","[151]"
"Blood Knights","Dtp entertainment","Unreleased","June 26, 2013","November 19, 2013","",""
"Blood of the Werewolf","Scientifically Proven","Unreleased","Unreleased","October 28, 2014","",""
"BloodBath: Fight for your life","UIG","Unreleased","May 2, 2014","Unreleased","","[152]"
"BloodRayne: Betrayal","WayForward Technologies","May 1, 2014","September 7, 2011","September 6, 2011","",""
"Blue-Collar Astronaut","Mutated Software","Unreleased","Unreleased","March 14, 2017","",""
"Blue Toad Murder Files","Relentless Software","Unreleased","December 17, 2009","March 25, 2010","M","[153]"
"Blur","Bizarre Creations","July 22, 2010","May 28, 2010","May 25, 2010","","[154]"
"Bodycount","Codemasters Studios Guildford","Unreleased","September 2, 2011","August 30, 2011","","[155]"
"Boku no Natsuyasumi 3","Millennium Kitchen","December 17, 2011","Unreleased","Unreleased","","[156]"
"Bolt","Avalanche Software","Unreleased","February 13, 2009","November 18, 2008","","[157]"
"Bomberman Ultra","Hudson Soft","June 18, 2009","September 17, 2009","June 11, 2009","E","[158]"
"The Book of Unwritten Tales 2","KING Art","Unreleased","September 18, 2015","September 18, 2015","","[159]"
"Borderlands","Gearbox Software","February 10, 2010","October 23, 2009","October 20, 2009","","[160]"
"Borderlands 2","Gearbox Software","October 25, 2012","September 21, 2012","September 18, 2012","","[161]"
"Borderlands: The Pre-Sequel!","2K Australia","October 29, 2014","October 17, 2014","October 14, 2014","","[162]"
"Bound by Flame","Spiders","Unreleased","May 9, 2014","May 9, 2014","","[163]"
"Braid","Hothead Games","September 9, 2010","December 17, 2009","November 12, 2009","","[164]"
"Brain Challenge","Gameloft","Unreleased","December 5, 2008","December 4, 2008","","[165]"
"Brave: The Video Game","Behaviour Interactive","Unreleased","July 27, 2012","June 19, 2012","M","[166]"
"Brink","Splash Damage","July 14, 2011","May 13, 2011","May 10, 2011","","[167]"
"Brothers: A Tale of Two Sons","Starbreeze Studios","January 28, 2014","September 4, 2013","September 3, 2013","",""
"Brothers in Arms: Hell's Highway","Gearbox Software","November 27, 2008","September 26, 2008","September 23, 2008","","[168]"
"Brunswick Pro Bowling","FarSight Studios","Unreleased","April 8, 2011","September 22, 2010","M","[169]"
"Brütal Legend","Double Fine Productions","Unreleased","October 16, 2009","October 13, 2009","","[170]"
"Bulletstorm","People Can Fly","February 24, 2011","February 25, 2011","February 22, 2011","","[171]"
"BurgerTime World Tour","Frozen Codebase","Unreleased","March 28, 2012","November 15, 2011","",""
"Burn Zombie Burn","Doublesix","Unreleased","March 26, 2009","March 26, 2009","","[172]"
"Burnout Crash!","Criterion Games","September 21, 2011","September 21, 2011","September 20, 2011","",""
"Burnout Paradise","Criterion Games","February 21, 2008","January 25, 2008","January 22, 2008","E","[173]"
"Buzz!: Brain of the World","Relentless Software","Unreleased","March 26, 2009","Unreleased","","[174]"
"Buzz! Junior: Dino Den","Cohort Studios","Unreleased","December 10, 2009","Unreleased","","[175]"
"Buzz! Junior: Jungle Party","Cohort Studios","Unreleased","August 28, 2008","March 12, 2009","","[176]"
"Buzz! Junior: Monster Rumble","Cohort Studios","Unreleased","September 3, 2009","October 15, 2009","","[177]"
"Buzz! Junior: Robo Jam","Cohort Studios","Unreleased","May 14, 2009","July 9, 2009","","[178]"
"Buzz!: Quiz Player","Relentless Software","Unreleased","Unreleased","December 21, 2012","","[179]"
"Buzz!: Quiz TV","Relentless Software","Unreleased","July 4, 2008","September 23, 2008","E","[180]"
"Buzz!: Quiz World","Relentless Software","Unreleased","October 30, 2009","November 10, 2009","E","[181]"
"Buzz!: The Ultimate Music Quiz","Relentless Software","Unreleased","August 22, 2010","Unreleased","M","[182]"
"Cabela's Adventure Camp","Cauldron","Unreleased","Unreleased","November 1, 2011","M"
"Cabela's African Adventures","Activision","Unreleased","Unreleased","October 15, 2013","","[183]"
"Cabela's Big Game Hunter 2010","Cauldron HQ","Unreleased","Unreleased","September 29, 2009","","[184]"
"Cabela's Big Game Hunter 2012","Cauldron HQ","September 27, 2011","September 27, 2011","September 27, 2011","M","[185]"
"Cabela's Big Game Hunter: Pro Hunts","Cauldron","Unreleased","Unreleased","March 25, 2014","","[186]"
"Cabela's Dangerous Hunts 2009","Sand Grain Studios","Unreleased","March 12, 2008","September 23, 2008","","[187]"
"Cabela's Dangerous Hunts 2011","Activision","Unreleased","Unreleased","May 6, 2011","M","[188]"
"Cabela's Dangerous Hunts 2013","Activision","Unreleased","Unreleased","October 23, 2012","","[189]"
"Cabela's Hunting Expeditions","Fun Labs","Unreleased","Unreleased","August 23, 2012","","[190]"
"Cabela's North American Adventures","Fun Labs","Unreleased","Unreleased","September 14, 2010","","[191]"
"Cabela's Outdoor Adventures","Activision","Unreleased","Unreleased","September 8, 2009","","[192]"
"Cabela's Survival: Shadows of Katmai","Fun Labs","Unreleased","Unreleased","November 1, 2011","M","[193]"
"Caladrius Blaze","MOSS","August 28, 2014","Unreleased","Unreleased","","[194]"
"Call of Duty 3","Treyarch","June 14, 2007","March 23, 2007","November 17, 2006","","[195]"
"Call of Duty 4: Modern Warfare","Infinity Ward","December 27, 2007","November 2, 2007","November 5, 2007","","[196]"
"Call of Duty Classic","Infinity Ward","Unreleased","December 10, 2009","December 3, 2009","","[197]"
