platform;slug;name;released;background_image;genre
PlayStation 4;will-you-snail;Will You Snail?;09/03/2022;https://media.rawg.io/media/screenshots/0a0/0a0b40e531ba5bf670b1b1556cda7b6a.jpg;Platformer, Indie, Action
Xbox Series S/X;will-you-snail;Will You Snail?;09/03/2022;https://media.rawg.io/media/screenshots/0a0/0a0b40e531ba5bf670b1b1556cda7b6a.jpg;Platformer, Indie, Action
Nintendo Switch;will-you-snail;Will You Snail?;09/03/2022;https://media.rawg.io/media/screenshots/0a0/0a0b40e531ba5bf670b1b1556cda7b6a.jpg;Platformer, Indie, Action
PC;windjammers-2;Windjammers 2;20/01/2022;https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg;Indie, Sports
PlayStation 5;windjammers-2;Windjammers 2;20/01/2022;https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg;Indie, Sports
Xbox One;windjammers-2;Windjammers 2;20/01/2022;https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg;Indie, Sports
PlayStation 4;windjammers-2;Windjammers 2;20/01/2022;https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg;Indie, Sports
Xbox Series S/X;windjammers-2;Windjammers 2;20/01/2022;https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg;Indie, Sports
Nintendo Switch;windjammers-2;Windjammers 2;20/01/2022;https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg;Indie, Sports
PC;wingspan;Wingspan;16/09/2020;https://media.rawg.io/media/games/9b8/9b81f13454031d7e358b46a5c0aba521.jpg;Casual, Strategy, Indie
Xbox One;wingspan;Wingspan;16/09/2020;https://media.rawg.io/media/games/9b8/9b81f13454031d7e358b46a5c0aba521.jpg;Casual, Strategy, Indie
Nintendo Switch;wingspan;Wingspan;16/09/2020;https://media.rawg.io/media/games/9b8/9b81f13454031d7e358b46a5c0aba521.jpg;Casual, Strategy, Indie
macOS;wingspan;Wingspan;16/09/2020;https://media.rawg.io/media/games/9b8/9b81f13454031d7e358b46a5c0aba521.jpg;Casual, Strategy, Indie
PC;winning-post-10;Winning Post 10;30/03/2023;https://media.rawg.io/media/games/9a5/9a55612ce40248442a5c12eb0b36f296.jpg;Racing
PlayStation 5;winning-post-10;Winning Post 10;30/03/2023;https://media.rawg.io/media/games/9a5/9a55612ce40248442a5c12eb0b36f296.jpg;Racing
PlayStation 4;winning-post-10;Winning Post 10;30/03/2023;https://media.rawg.io/media/games/9a5/9a55612ce40248442a5c12eb0b36f296.jpg;Racing
Nintendo Switch;winning-post-10;Winning Post 10;30/03/2023;https://media.rawg.io/media/games/9a5/9a55612ce40248442a5c12eb0b36f296.jpg;Racing
PC;winning-post-10-2024;Winning Post 10 2024;28/03/2024;https://media.rawg.io/media/games/e33/e3377429d0863c3a8bbf93329a17ddbd.jpg;Racing, Simulation
PlayStation 5;winning-post-10-2024;Winning Post 10 2024;28/03/2024;https://media.rawg.io/media/games/e33/e3377429d0863c3a8bbf93329a17ddbd.jpg;Racing, Simulation
PlayStation 4;winning-post-10-2024;Winning Post 10 2024;28/03/2024;https://media.rawg.io/media/games/e33/e3377429d0863c3a8bbf93329a17ddbd.jpg;Racing, Simulation
Nintendo Switch;winning-post-10-2024;Winning Post 10 2024;28/03/2024;https://media.rawg.io/media/games/e33/e3377429d0863c3a8bbf93329a17ddbd.jpg;Racing, Simulation
PC;winning-post-9-2021;Winning Post 9 (2021);15/04/2021;https://media.rawg.io/media/games/315/315d947b6d4dc57bffe82da428a5e370.jpg;Racing, Simulation, Sports
PlayStation 5;winning-post-9-2021;Winning Post 9 (2021);15/04/2021;https://media.rawg.io/media/games/315/315d947b6d4dc57bffe82da428a5e370.jpg;Racing, Simulation, Sports
PlayStation 4;winning-post-9-2021;Winning Post 9 (2021);15/04/2021;https://media.rawg.io/media/games/315/315d947b6d4dc57bffe82da428a5e370.jpg;Racing, Simulation, Sports
