platform;slug;name;released;background_image;genre
PC;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
Xbox One;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
iOS;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
Nintendo DS;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
macOS;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
Xbox 360;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
PlayStation 3;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
Wii;call-of-duty-black-ops;Call of Duty: Black Ops;2010-11-09;https://media.rawg.io/media/games/410/41033a495ce8f7fd4b0934bdb975f12a.jpg;Shooter, Action
PC;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
Nintendo Switch;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
iOS;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
Android;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
Nintendo DS;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
macOS;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
Xbox 360;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
PlayStation 3;syberia;Syberia;2002-01-09;https://media.rawg.io/media/games/852/8522935d8ab27b610a254b52de0da212.jpg;Adventure, Puzzle
PC;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
iOS;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Android;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Nintendo 3DS;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Nintendo DS;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Xbox 360;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
PlayStation 3;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
PS Vita;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Wii;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
PC;grid;GRID (2008);2008-06-03;https://media.rawg.io/media/games/fc0/fc076b974197660a582abd34ebccc27f.jpg;Racing
Xbox One;grid;GRID (2008);2008-06-03;https://media.rawg.io/media/games/fc0/fc076b974197660a582abd34ebccc27f.jpg;Racing
Nintendo DS;grid;GRID (2008);2008-06-03;https://media.rawg.io/media/games/fc0/fc076b974197660a582abd34ebccc27f.jpg;Racing
Xbox 360;grid;GRID (2008);2008-06-03;https://media.rawg.io/media/games/fc0/fc076b974197660a582abd34ebccc27f.jpg;Racing
PlayStation 3;grid;GRID (2008);2008-06-03;https://media.rawg.io/media/games/fc0/fc076b974197660a582abd34ebccc27f.jpg;Racing
PC;tomb-raider-underworld;Tomb Raider: Underworld;2008-11-18;https://media.rawg.io/media/games/341/3413d7275fb1e919f00a925df8288b77.jpg;Adventure, Action
Nintendo DS;tomb-raider-underworld;Tomb Raider: Underworld;2008-11-18;https://media.rawg.io/media/games/341/3413d7275fb1e919f00a925df8288b77.jpg;Adventure, Action
macOS;tomb-raider-underworld;Tomb Raider: Underworld;2008-11-18;https://media.rawg.io/media/games/341/3413d7275fb1e919f00a925df8288b77.jpg;Adventure, Action
Xbox 360;tomb-raider-underworld;Tomb Raider: Underworld;2008-11-18;https://media.rawg.io/media/games/341/3413d7275fb1e919f00a925df8288b77.jpg;Adventure, Action
PlayStation 3;tomb-raider-underworld;Tomb Raider: Underworld;2008-11-18;https://media.rawg.io/media/games/341/3413d7275fb1e919f00a925df8288b77.jpg;Adventure, Action
Wii;tomb-raider-underworld;Tomb Raider: Underworld;2008-11-18;https://media.rawg.io/media/games/341/3413d7275fb1e919f00a925df8288b77.jpg;Adventure, Action
PC;call-of-duty-world-at-war;Call of Duty: World at War;2008-11-11;https://media.rawg.io/media/games/da1/da15524e850ee9791b32973b748e08d5.jpg;Shooter
Xbox One;call-of-duty-world-at-war;Call of Duty: World at War;2008-11-11;https://media.rawg.io/media/games/da1/da15524e850ee9791b32973b748e08d5.jpg;Shooter
Nintendo DS;call-of-duty-world-at-war;Call of Duty: World at War;2008-11-11;https://media.rawg.io/media/games/da1/da15524e850ee9791b32973b748e08d5.jpg;Shooter
Xbox 360;call-of-duty-world-at-war;Call of Duty: World at War;2008-11-11;https://media.rawg.io/media/games/da1/da15524e850ee9791b32973b748e08d5.jpg;Shooter
PlayStation 3;call-of-duty-world-at-war;Call of Duty: World at War;2008-11-11;https://media.rawg.io/media/games/da1/da15524e850ee9791b32973b748e08d5.jpg;Shooter
Wii;call-of-duty-world-at-war;Call of Duty: World at War;2008-11-11;https://media.rawg.io/media/games/da1/da15524e850ee9791b32973b748e08d5.jpg;Shooter
PC;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
Xbox One;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
PlayStation 4;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
Nintendo DS;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
macOS;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
Xbox 360;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
PlayStation 3;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
Wii;modern-warfare;Call of Duty 4: Modern Warfare;2007-11-05;https://media.rawg.io/media/games/9fb/9fbaea2168caea1f806546dfdaaeb1da.jpg;Shooter, Action
PC;lego-marvel;LEGO Marvel Super Heroes;2013-10-22;https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg;Family, Adventure, Action
PlayStation 4;lego-marvel;LEGO Marvel Super Heroes;2013-10-22;https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg;Family, Adventure, Action
Xbox One;lego-marvel;LEGO Marvel Super Heroes;2013-10-22;https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg;Family, Adventure, Action
iOS;lego-marvel;LEGO Marvel Super Heroes;2013-10-22;https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg;Family, Adventure, Action
