platform;slug;name;released;background_image;genre
PC;resident-evil-2;Resident Evil 2 (1998);1998-01-21;https://media.rawg.io/media/games/d64/d646810b629081cc12aec49ed9f49441.jpg;Action
PlayStation;resident-evil-2;Resident Evil 2 (1998);1998-01-21;https://media.rawg.io/media/games/d64/d646810b629081cc12aec49ed9f49441.jpg;Action
GameCube;resident-evil-2;Resident Evil 2 (1998);1998-01-21;https://media.rawg.io/media/games/d64/d646810b629081cc12aec49ed9f49441.jpg;Action
Nintendo 64;resident-evil-2;Resident Evil 2 (1998);1998-01-21;https://media.rawg.io/media/games/d64/d646810b629081cc12aec49ed9f49441.jpg;Action
Dreamcast;resident-evil-2;Resident Evil 2 (1998);1998-01-21;https://media.rawg.io/media/games/d64/d646810b629081cc12aec49ed9f49441.jpg;Action
PC;oddworld-abes-oddysee;Oddworld: Abe's Oddysee;1997-09-19;https://media.rawg.io/media/games/2ae/2aedae90b1377a0f3e5ce54d24f8e41a.jpg;Platformer, Action
PlayStation 5;oddworld-abes-oddysee;Oddworld: Abe's Oddysee;1997-09-19;https://media.rawg.io/media/games/2ae/2aedae90b1377a0f3e5ce54d24f8e41a.jpg;Platformer, Action
PlayStation 4;oddworld-abes-oddysee;Oddworld: Abe's Oddysee;1997-09-19;https://media.rawg.io/media/games/2ae/2aedae90b1377a0f3e5ce54d24f8e41a.jpg;Platformer, Action
PlayStation;oddworld-abes-oddysee;Oddworld: Abe's Oddysee;1997-09-19;https://media.rawg.io/media/games/2ae/2aedae90b1377a0f3e5ce54d24f8e41a.jpg;Platformer, Action
PC;resident-evil;Resident Evil;1996-03-22;https://media.rawg.io/media/games/510/51039d0ec5dc8c3e08ae4374dfceecec.jpg;Shooter, Action
PlayStation;resident-evil;Resident Evil;1996-03-22;https://media.rawg.io/media/games/510/51039d0ec5dc8c3e08ae4374dfceecec.jpg;Shooter, Action
SEGA Saturn;resident-evil;Resident Evil;1996-03-22;https://media.rawg.io/media/games/510/51039d0ec5dc8c3e08ae4374dfceecec.jpg;Shooter, Action
PC;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
Xbox One;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
PlayStation 4;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
Nintendo Switch;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
iOS;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
Android;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
PlayStation;final-fantasy-vii;Final Fantasy VII (1997);1997-01-31;https://media.rawg.io/media/games/6c0/6c00ee85d1344f58c469e8e47fd8ae7c.jpg;Adventure, Action, RPG
PC;ufo-enemy-unknown;X-COM: UFO Defense;1993-12-30;https://media.rawg.io/media/screenshots/010/0101f021b2dc123c98969fda7e4bcd92.jpg;Strategy
PlayStation;ufo-enemy-unknown;X-COM: UFO Defense;1993-12-30;https://media.rawg.io/media/screenshots/010/0101f021b2dc123c98969fda7e4bcd92.jpg;Strategy
Commodore / Amiga;ufo-enemy-unknown;X-COM: UFO Defense;1993-12-30;https://media.rawg.io/media/screenshots/010/0101f021b2dc123c98969fda7e4bcd92.jpg;Strategy
PC;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
iOS;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
Android;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
macOS;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
PlayStation 3;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
PlayStation;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
PSP;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
Classic Macintosh;tomb-raider-ii;Tomb Raider II;1997-10-31;https://media.rawg.io/media/screenshots/c9c/c9c4e6d1792b5e12676819f3b57e5e26.jpeg;Platformer, Shooter, Adventure, Action
PC;worms-armageddon;Worms Armageddon;1999-01-29;https://media.rawg.io/media/games/96a/96a48ac7487d9db9179d83170afcb16a.jpg;Strategy
PlayStation;worms-armageddon;Worms Armageddon;1999-01-29;https://media.rawg.io/media/games/96a/96a48ac7487d9db9179d83170afcb16a.jpg;Strategy
Nintendo 64;worms-armageddon;Worms Armageddon;1999-01-29;https://media.rawg.io/media/games/96a/96a48ac7487d9db9179d83170afcb16a.jpg;Strategy
Game Boy Color;worms-armageddon;Worms Armageddon;1999-01-29;https://media.rawg.io/media/games/96a/96a48ac7487d9db9179d83170afcb16a.jpg;Strategy
Dreamcast;worms-armageddon;Worms Armageddon;1999-01-29;https://media.rawg.io/media/games/96a/96a48ac7487d9db9179d83170afcb16a.jpg;Strategy
PC;star-wars-dark-forces-2;Star Wars: Dark Forces;1995-02-28;https://media.rawg.io/media/games/5ad/5ad8b055d14c14fd626d5eb42f218bc6.jpg;Shooter, Action
PlayStation;star-wars-dark-forces-2;Star Wars: Dark Forces;1995-02-28;https://media.rawg.io/media/games/5ad/5ad8b055d14c14fd626d5eb42f218bc6.jpg;Shooter, Action
Classic Macintosh;star-wars-dark-forces-2;Star Wars: Dark Forces;1995-02-28;https://media.rawg.io/media/games/5ad/5ad8b055d14c14fd626d5eb42f218bc6.jpg;Shooter, Action
PlayStation;crash-bandicoot;Crash Bandicoot;1996-09-09;https://media.rawg.io/media/games/bc1/bc141ec3f4ca8d1d14f0ab4e4f9e654d.jpg;Platformer, Action
PC;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
Linux;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
Xbox 360;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
PlayStation;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
Nintendo 64;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
Classic Macintosh;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
Commodore / Amiga;quake-2;Quake II;1997-12-09;https://media.rawg.io/media/games/0c5/0c5fcdf04048200da14b90e0e6cfaf6b.jpg;Shooter, Action
PlayStation;crash-bandicoot-warped;Crash Bandicoot 3: Warped;1998-10-31;https://media.rawg.io/media/games/837/837a609b0584db5d03534c8e767861b1.jpg;Platformer, Action
PlayStation;crash-bandicoot-2;Crash Bandicoot 2: Cortex Strikes Back;1997-11-01;https://media.rawg.io/media/games/a84/a84dc4980063ce934705ea5d8d241939.jpg;Platformer
PC;tomb-raider-chronicles;Tomb Raider V: Chronicles;2000-11-17;https://media.rawg.io/media/screenshots/79c/79ccb0bf14ae8a14b582b9e4cb47b3d6.jpg;Shooter, Adventure, Action
PlayStation;tomb-raider-chronicles;Tomb Raider V: Chronicles;2000-11-17;https://media.rawg.io/media/screenshots/79c/79ccb0bf14ae8a14b582b9e4cb47b3d6.jpg;Shooter, Adventure, Action
Classic Macintosh;tomb-raider-chronicles;Tomb Raider V: Chronicles;2000-11-17;https://media.rawg.io/media/screenshots/79c/79ccb0bf14ae8a14b582b9e4cb47b3d6.jpg;Shooter, Adventure, Action
Dreamcast;tomb-raider-chronicles;Tomb Raider V: Chronicles;2000-11-17;https://media.rawg.io/media/screenshots/79c/79ccb0bf14ae8a14b582b9e4cb47b3d6.jpg;Shooter, Adventure, Action
PC;quake-iii-arena-1999;Quake III Arena;1999-12-02;https://media.rawg.io/media/games/2f2/2f2eb93e32d400677b0b27f4686f7b4f.jpg;Shooter, Action
Linux;quake-iii-arena-1999;Quake III Arena;1999-12-02;https://media.rawg.io/media/games/2f2/2f2eb93e32d400677b0b27f4686f7b4f.jpg;Shooter, Action
PlayStation 2;quake-iii-arena-1999;Quake III Arena;1999-12-02;https://media.rawg.io/media/games/2f2/2f2eb93e32d400677b0b27f4686f7b4f.jpg;Shooter, Action
PlayStation;quake-iii-arena-1999;Quake III Arena;1999-12-02;https://media.rawg.io/media/games/2f2/2f2eb93e32d400677b0b27f4686f7b4f.jpg;Shooter, Action
Classic Macintosh;quake-iii-arena-1999;Quake III Arena;1999-12-02;https://media.rawg.io/media/games/2f2/2f2eb93e32d400677b0b27f4686f7b4f.jpg;Shooter, Action
Dreamcast;quake-iii-arena-1999;Quake III Arena;1999-12-02;https://media.rawg.io/media/games/2f2/2f2eb93e32d400677b0b27f4686f7b4f.jpg;Shooter, Action
PC;tomb-raider-the-last-revelation;Tomb Raider IV: The Last Revelation;1999-10-31;https://media.rawg.io/media/screenshots/596/5961ec2772283628c4d0728d4041d401.jpg;Shooter, Adventure, Action, Puzzle
