platform;slug;name;released;background_image;genre
PC;a-plague-tale-requiem;A Plague Tale: Requiem;2022-10-17;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Adventure, Action
PlayStation 5;a-plague-tale-requiem;A Plague Tale: Requiem;2022-10-17;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Adventure, Action
Xbox One;a-plague-tale-requiem;A Plague Tale: Requiem;2022-10-17;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Adventure, Action
PlayStation 4;a-plague-tale-requiem;A Plague Tale: Requiem;2022-10-17;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Adventure, Action
Xbox Series S/X;a-plague-tale-requiem;A Plague Tale: Requiem;2022-10-17;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Adventure, Action
Nintendo Switch;a-plague-tale-requiem;A Plague Tale: Requiem;2022-10-17;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Adventure, Action
PC;hitman-3;Hitman 3;2021-01-20;https://media.rawg.io/media/games/126/126fbd5ceacddc6ad16fc96e50b1265b.jpg;Shooter, Adventure, Action
PlayStation 5;hitman-3;Hitman 3;2021-01-20;https://media.rawg.io/media/games/126/126fbd5ceacddc6ad16fc96e50b1265b.jpg;Shooter, Adventure, Action
Xbox One;hitman-3;Hitman 3;2021-01-20;https://media.rawg.io/media/games/126/126fbd5ceacddc6ad16fc96e50b1265b.jpg;Shooter, Adventure, Action
PlayStation 4;hitman-3;Hitman 3;2021-01-20;https://media.rawg.io/media/games/126/126fbd5ceacddc6ad16fc96e50b1265b.jpg;Shooter, Adventure, Action
Xbox Series S/X;hitman-3;Hitman 3;2021-01-20;https://media.rawg.io/media/games/126/126fbd5ceacddc6ad16fc96e50b1265b.jpg;Shooter, Adventure, Action
Nintendo Switch;hitman-3;Hitman 3;2021-01-20;https://media.rawg.io/media/games/126/126fbd5ceacddc6ad16fc96e50b1265b.jpg;Shooter, Adventure, Action
PC;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
PlayStation 5;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
Xbox One;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
PlayStation 4;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
Xbox Series S/X;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
Nintendo Switch;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
macOS;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
Linux;unpacking-2;Unpacking;2021-11-02;https://media.rawg.io/media/games/c11/c1118fbcfd846c631ecb7646f8efc780.jpg;Casual
PC;vampire-the-masquerade-bloodlines-2;Vampire: The Masquerade - Bloodlines 2;2024-11-30;https://media.rawg.io/media/games/fb5/fb5e0fdb1f6bb0e8b5da5d08bb83a5fc.jpg;Action, RPG
PlayStation 5;vampire-the-masquerade-bloodlines-2;Vampire: The Masquerade - Bloodlines 2;2024-11-30;https://media.rawg.io/media/games/fb5/fb5e0fdb1f6bb0e8b5da5d08bb83a5fc.jpg;Action, RPG
Xbox One;vampire-the-masquerade-bloodlines-2;Vampire: The Masquerade - Bloodlines 2;2024-11-30;https://media.rawg.io/media/games/fb5/fb5e0fdb1f6bb0e8b5da5d08bb83a5fc.jpg;Action, RPG
