platform;slug;name;released;background_image;genre
Xbox 360;back-to-the-future-the-game;Back to the Future: The Game;2010-12-21;https://media.rawg.io/media/games/e2e/e2eac90903c56886e39d21ac71b958e5.jpg;Adventure, Action, Puzzle
PlayStation 3;back-to-the-future-the-game;Back to the Future: The Game;2010-12-21;https://media.rawg.io/media/games/e2e/e2eac90903c56886e39d21ac71b958e5.jpg;Adventure, Action, Puzzle
Wii;back-to-the-future-the-game;Back to the Future: The Game;2010-12-21;https://media.rawg.io/media/games/e2e/e2eac90903c56886e39d21ac71b958e5.jpg;Adventure, Action, Puzzle
PC;lovers-in-a-dangerous-spacetime;Lovers in a Dangerous Spacetime;2015-09-08;https://media.rawg.io/media/games/b47/b47da312357f548ceeb3a4d00021cd1d.jpg;Shooter, Indie, Action, Simulation
Xbox One;lovers-in-a-dangerous-spacetime;Lovers in a Dangerous Spacetime;2015-09-08;https://media.rawg.io/media/games/b47/b47da312357f548ceeb3a4d00021cd1d.jpg;Shooter, Indie, Action, Simulation
PlayStation 4;lovers-in-a-dangerous-spacetime;Lovers in a Dangerous Spacetime;2015-09-08;https://media.rawg.io/media/games/b47/b47da312357f548ceeb3a4d00021cd1d.jpg;Shooter, Indie, Action, Simulation
Nintendo Switch;lovers-in-a-dangerous-spacetime;Lovers in a Dangerous Spacetime;2015-09-08;https://media.rawg.io/media/games/b47/b47da312357f548ceeb3a4d00021cd1d.jpg;Shooter, Indie, Action, Simulation
macOS;lovers-in-a-dangerous-spacetime;Lovers in a Dangerous Spacetime;2015-09-08;https://media.rawg.io/media/games/b47/b47da312357f548ceeb3a4d00021cd1d.jpg;Shooter, Indie, Action, Simulation
Linux;lovers-in-a-dangerous-spacetime;Lovers in a Dangerous Spacetime;2015-09-08;https://media.rawg.io/media/games/b47/b47da312357f548ceeb3a4d00021cd1d.jpg;Shooter, Indie, Action, Simulation
PC;maneater;Maneater;2020-05-22;https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg;Indie, Adventure, Action, RPG
PlayStation 5;maneater;Maneater;2020-05-22;https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg;Indie, Adventure, Action, RPG
Xbox One;maneater;Maneater;2020-05-22;https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg;Indie, Adventure, Action, RPG
PlayStation 4;maneater;Maneater;2020-05-22;https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg;Indie, Adventure, Action, RPG
Xbox Series S/X;maneater;Maneater;2020-05-22;https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg;Indie, Adventure, Action, RPG
Nintendo Switch;maneater;Maneater;2020-05-22;https://media.rawg.io/media/games/895/8951013b8ace2d652727df2f9023cbb8.jpg;Indie, Adventure, Action, RPG
PC;the-escapists-2;The Escapists 2;2017-08-21;https://media.rawg.io/media/screenshots/8f6/8f69fbc424a579cbdb4b3199ab6c262a.jpg;Strategy, Indie, Simulation
Xbox One;the-escapists-2;The Escapists 2;2017-08-21;https://media.rawg.io/media/screenshots/8f6/8f69fbc424a579cbdb4b3199ab6c262a.jpg;Strategy, Indie, Simulation
