platform;slug;name;released;background_image;genre
Nintendo Switch;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
iOS;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
macOS;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
Linux;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
PS Vita;hue;Hue;2016-08-30;https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg;Indie, Adventure, Board Games, Puzzle
PC;wizard-of-legend;Wizard of Legend;2018-05-15;https://media.rawg.io/media/screenshots/b25/b258a515226ab56c46ac8619cacb8f26.jpeg;Indie, Adventure, Action
Xbox One;wizard-of-legend;Wizard of Legend;2018-05-15;https://media.rawg.io/media/screenshots/b25/b258a515226ab56c46ac8619cacb8f26.jpeg;Indie, Adventure, Action
PlayStation 4;wizard-of-legend;Wizard of Legend;2018-05-15;https://media.rawg.io/media/screenshots/b25/b258a515226ab56c46ac8619cacb8f26.jpeg;Indie, Adventure, Action
Nintendo Switch;wizard-of-legend;Wizard of Legend;2018-05-15;https://media.rawg.io/media/screenshots/b25/b258a515226ab56c46ac8619cacb8f26.jpeg;Indie, Adventure, Action
macOS;wizard-of-legend;Wizard of Legend;2018-05-15;https://media.rawg.io/media/screenshots/b25/b258a515226ab56c46ac8619cacb8f26.jpeg;Indie, Adventure, Action
Linux;wizard-of-legend;Wizard of Legend;2018-05-15;https://media.rawg.io/media/screenshots/b25/b258a515226ab56c46ac8619cacb8f26.jpeg;Indie, Adventure, Action
PC;my-time-at-portia;My Time At Portia;2019-01-14;https://media.rawg.io/media/games/176/1765390b699b432edc3a208d544c6ba0.jpg;Casual, RPG, Simulation
Xbox One;my-time-at-portia;My Time At Portia;2019-01-14;https://media.rawg.io/media/games/176/1765390b699b432edc3a208d544c6ba0.jpg;Casual, RPG, Simulation
PlayStation 4;my-time-at-portia;My Time At Portia;2019-01-14;https://media.rawg.io/media/games/176/1765390b699b432edc3a208d544c6ba0.jpg;Casual, RPG, Simulation
Nintendo Switch;my-time-at-portia;My Time At Portia;2019-01-14;https://media.rawg.io/media/games/176/1765390b699b432edc3a208d544c6ba0.jpg;Casual, RPG, Simulation
iOS;my-time-at-portia;My Time At Portia;2019-01-14;https://media.rawg.io/media/games/176/1765390b699b432edc3a208d544c6ba0.jpg;Casual, RPG, Simulation
PC;teenage-mutant-ninja-turtles-shredders-revenge;Teenage Mutant Ninja Turtles: Shredder's Revenge;2022-06-16;https://media.rawg.io/media/games/aac/aac683272f862540a18625f02f5f3679.jpg;Adventure, Action, Fighting, Casual, Arcade, Indie
PlayStation 5;teenage-mutant-ninja-turtles-shredders-revenge;Teenage Mutant Ninja Turtles: Shredder's Revenge;2022-06-16;https://media.rawg.io/media/games/aac/aac683272f862540a18625f02f5f3679.jpg;Adventure, Action, Fighting, Casual, Arcade, Indie
Xbox One;teenage-mutant-ninja-turtles-shredders-revenge;Teenage Mutant Ninja Turtles: Shredder's Revenge;2022-06-16;https://media.rawg.io/media/games/aac/aac683272f862540a18625f02f5f3679.jpg;Adventure, Action, Fighting, Casual, Arcade, Indie
PlayStation 4;teenage-mutant-ninja-turtles-shredders-revenge;Teenage Mutant Ninja Turtles: Shredder's Revenge;2022-06-16;https://media.rawg.io/media/games/aac/aac683272f862540a18625f02f5f3679.jpg;Adventure, Action, Fighting, Casual, Arcade, Indie
Xbox Series S/X;teenage-mutant-ninja-turtles-shredders-revenge;Teenage Mutant Ninja Turtles: Shredder's Revenge;2022-06-16;https://media.rawg.io/media/games/aac/aac683272f862540a18625f02f5f3679.jpg;Adventure, Action, Fighting, Casual, Arcade, Indie
