platform;slug;name;released;background_image;genre
PC;half-life-2;Half-Life 2;2004-11-16;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg;Shooter, Action
Android;half-life-2;Half-Life 2;2004-11-16;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg;Shooter, Action
macOS;half-life-2;Half-Life 2;2004-11-16;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg;Shooter, Action
Linux;half-life-2;Half-Life 2;2004-11-16;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg;Shooter, Action
Xbox 360;half-life-2;Half-Life 2;2004-11-16;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg;Shooter, Action
Xbox;half-life-2;Half-Life 2;2004-11-16;https://media.rawg.io/media/games/b8c/b8c243eaa0fbac8115e0cdccac3f91dc.jpg;Shooter, Action
PC;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
Xbox One;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
PlayStation 4;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
iOS;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
Android;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
macOS;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
Xbox 360;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
Xbox;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
PlayStation 3;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
PlayStation 2;grand-theft-auto-san-andreas;Grand Theft Auto: San Andreas;2004-10-26;https://media.rawg.io/media/games/960/960b601d9541cec776c5fa42a00bf6c4.jpg;Action
PC;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
PlayStation 4;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
iOS;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
Android;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
macOS;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
Xbox;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
PlayStation 2;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
PS Vita;grand-theft-auto-vice-city;Grand Theft Auto: Vice City;2002-10-27;https://media.rawg.io/media/games/13a/13a528ac9cf48bbb6be5d35fe029336d.jpg;Action
PC;counter-strike;Counter-Strike;2000-11-01;https://media.rawg.io/media/games/9c4/9c47f320eb73c9a02d462e12f6206b26.jpg;Shooter, Action
macOS;counter-strike;Counter-Strike;2000-11-01;https://media.rawg.io/media/games/9c4/9c47f320eb73c9a02d462e12f6206b26.jpg;Shooter, Action
Linux;counter-strike;Counter-Strike;2000-11-01;https://media.rawg.io/media/games/9c4/9c47f320eb73c9a02d462e12f6206b26.jpg;Shooter, Action
Xbox;counter-strike;Counter-Strike;2000-11-01;https://media.rawg.io/media/games/9c4/9c47f320eb73c9a02d462e12f6206b26.jpg;Shooter, Action
PC;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
PlayStation 4;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
Xbox One;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
iOS;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
macOS;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
Linux;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
Xbox 360;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
Xbox;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
PlayStation 3;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
PlayStation 2;psychonauts;Psychonauts;2005-04-01;https://media.rawg.io/media/games/c89/c89ca70716080733d03724277df2c6c7.jpg;Platformer, Action
