platform;slug;name;released;background_image;genre
PC;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Xbox One;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
PlayStation 4;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Nintendo Switch;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
iOS;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Android;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Nintendo 3DS;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
macOS;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Linux;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Xbox 360;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
PlayStation 3;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
PS Vita;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
Wii U;terraria;Terraria;2011-05-16;https://media.rawg.io/media/games/f46/f466571d536f2e3ea9e815ad17177501.jpg;Platformer, Indie, Action
PC;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Xbox One;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
PlayStation 4;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Nintendo Switch;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
iOS;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Android;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Nintendo 3DS;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
macOS;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Linux;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Xbox 360;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
PlayStation 3;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
PS Vita;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
Wii U;minecraft;Minecraft;2009-05-10;https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg;Action, Arcade, Simulation, Indie, Massively Multiplayer
PC;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
iOS;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Android;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Nintendo 3DS;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Nintendo DS;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Xbox 360;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
PlayStation 3;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
PS Vita;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
Wii;lego-lord-of-the-rings;LEGO The Lord of the Rings;2012-10-30;https://media.rawg.io/media/games/89a/89a700d3c6a76bd0610ca89ccd20da54.jpg;Adventure, Action
PC;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
Xbox One;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
PlayStation 4;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
Nintendo Switch;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
iOS;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
Nintendo 3DS;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
macOS;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
Linux;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
PS Vita;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
Wii U;the-binding-of-isaac-rebirth;The Binding of Isaac: Rebirth;2014-11-03;https://media.rawg.io/media/games/926/926928beb8a9f9b31cf202965aa4cbbc.jpg;Action, RPG
PC;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
PlayStation 4;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
Xbox One;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
Nintendo 3DS;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
macOS;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
Xbox 360;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
PlayStation 3;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
PS Vita;lego-the-hobbit;LEGO The Hobbit;2014-04-08;https://media.rawg.io/media/games/e4f/e4fb3fd188f61fabec48dca22e6ef28a.jpg;Family, Adventure, Action
