platform;slug;name;released;background_image;genre
PC;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
PlayStation 4;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
iOS;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
Android;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
Nintendo DS;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
Nintendo DSi;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
macOS;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
Xbox 360;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
PlayStation 3;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
PS Vita;plants-vs-zombies-goty-edition;Plants vs. Zombies GOTY Edition;2010-08-10;https://media.rawg.io/media/games/096/0962642c3f74cd6306ad8bfdfd3d6150.jpg;Strategy
PC;cut-the-rope;Cut the Rope;2010-10-04;https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg;Casual, Indie, Arcade, Puzzle
iOS;cut-the-rope;Cut the Rope;2010-10-04;https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg;Casual, Indie, Arcade, Puzzle
Android;cut-the-rope;Cut the Rope;2010-10-04;https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg;Casual, Indie, Arcade, Puzzle
Nintendo 3DS;cut-the-rope;Cut the Rope;2010-10-04;https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg;Casual, Indie, Arcade, Puzzle
Nintendo DS;cut-the-rope;Cut the Rope;2010-10-04;https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg;Casual, Indie, Arcade, Puzzle
Nintendo DSi;cut-the-rope;Cut the Rope;2010-10-04;https://media.rawg.io/media/games/242/242011264968168c61e4efc71059f2ed.jpg;Casual, Indie, Arcade, Puzzle
iOS;ace-attorney-investigations-miles-edgeworth;Ace Attorney Investigations - Miles Edgeworth;2009-05-28;https://media.rawg.io/media/screenshots/0a3/0a30bb59b5abac2f51e7545bf1580fee.jpg;Adventure
Android;ace-attorney-investigations-miles-edgeworth;Ace Attorney Investigations - Miles Edgeworth;2009-05-28;https://media.rawg.io/media/screenshots/0a3/0a30bb59b5abac2f51e7545bf1580fee.jpg;Adventure
Nintendo DS;ace-attorney-investigations-miles-edgeworth;Ace Attorney Investigations - Miles Edgeworth;2009-05-28;https://media.rawg.io/media/screenshots/0a3/0a30bb59b5abac2f51e7545bf1580fee.jpg;Adventure
Nintendo DSi;ace-attorney-investigations-miles-edgeworth;Ace Attorney Investigations - Miles Edgeworth;2009-05-28;https://media.rawg.io/media/screenshots/0a3/0a30bb59b5abac2f51e7545bf1580fee.jpg;Adventure
PC;jagged-alliance;Jagged Alliance;1994-06-02;https://media.rawg.io/media/screenshots/078/078629e997421ca28e9098bd7a87cb10.jpg;Strategy
Nintendo DS;jagged-alliance;Jagged Alliance;1994-06-02;https://media.rawg.io/media/screenshots/078/078629e997421ca28e9098bd7a87cb10.jpg;Strategy
Nintendo DSi;jagged-alliance;Jagged Alliance;1994-06-02;https://media.rawg.io/media/screenshots/078/078629e997421ca28e9098bd7a87cb10.jpg;Strategy
macOS;jagged-alliance;Jagged Alliance;1994-06-02;https://media.rawg.io/media/screenshots/078/078629e997421ca28e9098bd7a87cb10.jpg;Strategy
Linux;jagged-alliance;Jagged Alliance;1994-06-02;https://media.rawg.io/media/screenshots/078/078629e997421ca28e9098bd7a87cb10.jpg;Strategy
PC;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
iOS;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
Android;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
Nintendo DS;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
Nintendo DSi;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
macOS;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
Xbox 360;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
PlayStation 3;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
PSP;dragons-lair;Dragon's Lair;1983-06-19;https://media.rawg.io/media/screenshots/b45/b452e9b20e969a64d0088ae467d1dcab.jpg;Action
